PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS08
4-character ID, P465
Station name, HorseshoeMCS2007
Begin Date, 2007-06-14
End Date, 2019-08-21
Release Date, 2019-08-22
Source file, P465.cwu.igs08.pos
Offset from source file, 7.53 mm North, -62.69 mm East, 9.14 mm Vertical
Reference position, 36.4668343519 North Latitude, -118.1324333151 East Longitude, 2901.55390 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-06-14,0.00, 0.00, 0.00, 2.07, 1.69, 7.6, repro,
2007-06-15,-1.27, -0.48, 9.43, 2, 1.63, 7.43, repro,
2007-06-16,-0.60, 0.90, 16.62, 1.98, 1.64, 7.29, repro,
2007-06-17,-0.37, 0.07, 10.83, 1.99, 1.63, 7.33, repro,
2007-06-18,-0.07, 0.82, 12.08, 2, 1.66, 7.44, repro,
2007-06-19,-0.56, 0.08, 8.11, 2.02, 1.64, 7.43, repro,
2007-06-20,-1.51, 0.81, 6.67, 2, 1.64, 7.4, repro,
2007-06-21,-1.22, -1.10, 10.45, 2.06, 1.64, 7.55, repro,
2007-06-22,0.68, 0.32, 10.11, 2.07, 1.66, 7.61, repro,
2007-06-23,0.77, -0.76, 3.40, 2.44, 1.98, 9.27, repro,
2007-06-24,-0.83, -0.63, 14.22, 2.03, 1.67, 7.59, repro,
2007-06-25,0.75, 0.00, 5.10, 2.02, 1.63, 7.46, repro,
2007-06-26,0.05, 0.10, 4.50, 1.99, 1.62, 7.33, repro,
2007-06-27,0.37, -0.89, 7.98, 2, 1.63, 7.4, repro,
2007-06-28,-0.16, -0.91, 11.92, 1.99, 1.62, 7.39, repro,
2007-06-29,-1.22, -1.44, 4.40, 2.01, 1.63, 7.42, repro,
2007-06-30,-0.42, -0.49, 10.47, 2, 1.62, 7.37, repro,
2007-07-01,-0.77, -1.18, 6.00, 2, 1.64, 7.4, repro,
2007-07-02,-0.10, -0.36, 13.72, 2, 1.63, 7.37, repro,
2007-07-03,-0.29, -1.31, 7.57, 2.01, 1.63, 7.45, repro,
2007-07-04,-0.17, -1.81, 7.94, 2.01, 1.64, 7.5, repro,
2007-07-05,0.15, 0.57, 9.67, 2.01, 1.63, 7.41, repro,
2007-07-06,0.04, -0.17, 0.95, 2, 1.63, 7.37, repro,
2007-07-07,0.69, 0.81, 5.48, 1.99, 1.62, 7.35, repro,
2007-07-08,-0.93, -1.93, 17.27, 2.04, 1.72, 7.67, repro,
2007-07-09,-0.33, -0.46, 6.70, 2.02, 1.65, 7.62, repro,
2007-07-10,0.24, -0.64, 7.03, 2.03, 1.65, 7.59, repro,
2007-07-11,-0.14, -0.33, 3.18, 2.01, 1.64, 7.41, repro,
2007-07-12,-0.45, -0.75, 5.05, 2, 1.64, 7.42, repro,
2007-07-13,-0.69, -1.29, 15.02, 2.04, 1.71, 7.59, repro,
2007-07-14,-0.56, -1.78, 16.73, 2.02, 1.65, 7.5, repro,
2007-07-15,0.25, -1.74, 8.75, 2.06, 1.72, 7.75, repro,
2007-07-16,-0.36, -1.12, 14.48, 2.03, 1.72, 7.61, repro,
2007-07-17,-0.98, -1.72, 16.65, 2.05, 1.73, 7.67, repro,
2007-07-18,-1.16, -1.91, 11.13, 2.03, 1.7, 7.54, repro,
2007-07-19,-1.95, -4.31, 17.32, 2.07, 1.73, 7.71, repro,
2007-07-20,-1.15, -1.64, 12.11, 2.05, 1.72, 7.71, repro,
2007-07-21,-0.39, -1.79, 10.08, 2.08, 1.74, 7.78, repro,
2007-07-22,0.00, -2.64, 7.02, 2.09, 1.75, 7.87, repro,
2007-07-23,-0.82, -2.24, 12.95, 2.13, 1.75, 7.91, repro,
2007-07-24,1.47, -2.06, 2.18, 2.06, 1.71, 7.62, repro,
2007-07-25,1.75, -1.03, 14.93, 2.05, 1.73, 7.69, repro,
