PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P465
Station name, HorseshoeMCS2007
Begin Date, 2007-06-14
End Date, 2019-08-21
Release Date, 2019-08-22
Source file, P465.cwu.nam08.pos
Offset from source file, 34.62 mm North, -30.97 mm East, 8.31 mm Vertical
Reference position, 36.4668343519 North Latitude, -118.1324333151 East Longitude, 2901.55390 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-06-14,0.00, 0.00, 0.00, 2.07, 1.69, 7.59, repro,
2007-06-15,-1.22, -0.20, 11.33, 2, 1.63, 7.42, repro,
2007-06-16,-0.50, 1.04, 17.07, 1.98, 1.64, 7.28, repro,
2007-06-17,-0.28, 0.15, 11.06, 1.99, 1.63, 7.32, repro,
2007-06-18,0.08, 0.98, 12.55, 2, 1.66, 7.43, repro,
2007-06-19,-0.38, 0.33, 8.67, 2.02, 1.64, 7.42, repro,
2007-06-20,-1.31, 1.03, 6.98, 2, 1.64, 7.39, repro,
2007-06-21,-0.97, -0.77, 10.96, 2.06, 1.64, 7.54, repro,
2007-06-22,0.93, 0.68, 10.72, 2.07, 1.66, 7.61, repro,
2007-06-23,1.07, -0.33, 4.10, 2.44, 1.98, 9.27, repro,
2007-06-24,-0.50, -0.22, 14.82, 2.03, 1.67, 7.59, repro,
2007-06-25,1.05, 0.48, 5.47, 2.02, 1.63, 7.45, repro,
2007-06-26,0.43, 0.56, 4.92, 1.99, 1.62, 7.32, repro,
2007-06-27,0.72, -0.36, 8.30, 2, 1.63, 7.39, repro,
2007-06-28,0.20, -0.37, 12.20, 1.99, 1.62, 7.38, repro,
2007-06-29,-0.80, -0.84, 4.65, 2.01, 1.63, 7.41, repro,
2007-06-30,0.09, 0.17, 10.96, 2, 1.62, 7.36, repro,
2007-07-01,-0.22, -0.42, 6.61, 2, 1.64, 7.39, repro,
2007-07-02,0.39, 0.40, 14.14, 2, 1.63, 7.36, repro,
2007-07-03,0.28, -0.62, 7.76, 2.01, 1.63, 7.44, repro,
2007-07-04,0.46, -1.06, 8.41, 2.01, 1.64, 7.5, repro,
2007-07-05,0.76, 1.42, 10.12, 2.01, 1.63, 7.4, repro,
2007-07-06,0.79, 0.77, 1.77, 2, 1.63, 7.36, repro,
2007-07-07,1.46, 1.69, 6.05, 1.99, 1.62, 7.34, repro,
2007-07-08,-0.10, -0.95, 18.17, 2.04, 1.72, 7.66, repro,
2007-07-09,0.46, 0.49, 7.21, 2.02, 1.65, 7.61, repro,
2007-07-10,1.04, 0.37, 7.56, 2.03, 1.65, 7.58, repro,
2007-07-11,0.69, 0.75, 3.75, 2.01, 1.64, 7.4, repro,
2007-07-12,0.46, 0.30, 5.27, 2, 1.64, 7.41, repro,
2007-07-13,0.24, -0.19, 15.55, 2.04, 1.71, 7.58, repro,
2007-07-14,0.33, -0.63, 17.45, 2.02, 1.65, 7.49, repro,
2007-07-15,1.21, -0.46, 9.46, 2.06, 1.72, 7.74, repro,
2007-07-16,0.66, 0.16, 15.45, 2.03, 1.72, 7.6, repro,
2007-07-17,0.05, -0.51, 16.86, 2.05, 1.73, 7.66, repro,
2007-07-18,-0.05, -0.64, 11.91, 2.03, 1.7, 7.53, repro,
2007-07-19,-0.85, -2.98, 17.87, 2.07, 1.73, 7.7, repro,
2007-07-20,0.01, -0.26, 12.77, 2.05, 1.72, 7.7, repro,
2007-07-21,0.83, -0.33, 10.90, 2.08, 1.74, 7.77, repro,
2007-07-22,1.28, -1.14, 7.99, 2.09, 1.75, 7.86, repro,
2007-07-23,0.50, -0.69, 13.82, 2.13, 1.75, 7.9, repro,
2007-07-24,2.76, -0.55, 3.13, 2.06, 1.71, 7.61, repro,
2007-07-25,2.99, 0.56, 15.80, 2.05, 1.73, 7.69, repro,
2007-07-26,1.46, -0.19, 9.50, 2.09, 1.73, 7.82, repro,
2007-07-27,2.67, -0.15, 8.20, 2.13, 1.79, 8.05, repro,
2007-07-28,1.95, -0.36, 8.55, 2.1, 1.74, 7.84, repro,
2007-07-29,0.72, -0.60, 12.78, 2.08, 1.73, 7.76, repro,
2007-07-30,0.78, -0.21, 14.39, 2.09, 1.75, 7.83, repro,
2007-07-31,1.86, -0.71, 11.98, 2.09, 1.74, 7.78, repro,
2007-08-01,1.15, -0.81, 13.26, 2.06, 1.66, 7.61, repro,
2007-08-02,-0.12, 1.42, 17.97, 2.1, 1.75, 7.85, repro,
2007-08-03,2.26, -0.47, 8.94, 2.05, 1.66, 7.58, repro,
2007-08-04,2.13, -0.24, 15.86, 2.1, 1.66, 7.63, repro,
2007-08-05,1.50, 0.61, 15.65, 2.04, 1.66, 7.53, repro,
2007-08-06,0.85, 1.31, 9.43, 2.09, 1.7, 7.75, repro,
2007-08-07,0.89, 0.50, 9.22, 2.08, 1.7, 7.76, repro,
2007-08-08,0.30, -1.01, 9.07, 2.04, 1.66, 7.56, repro,
2007-08-09,0.42, -1.04, 5.66, 2, 1.63, 7.42, repro,
2007-08-10,1.01, -1.78, 16.65, 2, 1.64, 7.41, repro,
2007-08-11,1.42, -2.34, 11.42, 2, 1.64, 7.41, repro,
2007-08-12,0.98, 0.26, 3.57, 2.01, 1.64, 7.47, repro,
2007-08-13,1.69, -2.62, 6.87, 2.03, 1.67, 7.59, repro,
2007-08-14,2.30, -0.11, 5.59, 2.11, 1.74, 7.83, repro,
2007-08-15,1.40, -1.05, 4.70, 2.14, 1.76, 7.97, repro,
2007-08-16,2.26, -1.56, 10.77, 2.1, 1.7, 7.89, repro,
2007-08-17,3.23, -1.62, 18.75, 2.15, 1.71, 8.01, repro,
2007-08-18,0.52, -0.99, 8.31, 2.11, 1.74, 8.04, repro,
2007-08-19,0.40, -3.02, 18.53, 2.11, 1.73, 8, repro,
2007-08-20,2.10, -1.78, 10.02, 2.07, 1.68, 7.73, repro,
2007-08-21,2.10, -1.86, 12.86, 2.1, 1.69, 7.82, repro,
2007-08-22,2.79, -1.50, 17.17, 2.09, 1.68, 7.78, repro,
2007-08-23,1.58, -2.40, 16.98, 2.08, 1.66, 7.67, repro,
2007-08-24,1.44, -1.67, 8.59, 2.18, 1.76, 8.08, repro,
2007-08-25,3.79, -1.84, 2.28, 2.11, 1.74, 7.84, repro,
2007-08-26,4.89, -1.79, 12.00, 2.12, 1.76, 7.95, repro,
2007-08-27,3.31, -2.22, 8.82, 2.2, 1.79, 8.31, repro,
2007-08-28,1.97, -2.20, 5.99, 2.13, 1.77, 7.98, repro,
2007-08-29,0.32, 1.52, 4.07, 2.1, 1.74, 7.79, repro,
2007-08-30,2.34, -1.41, 2.61, 2.13, 1.82, 7.95, repro,
2007-08-31,0.76, -0.29, 5.42, 2.1, 1.72, 7.8, repro,
2007-09-01,0.96, -2.87, 11.18, 2.08, 1.74, 7.83, repro,
2007-09-02,1.08, 0.86, 11.46, 2.27, 1.9, 8.46, repro,
2007-09-03,2.70, -3.69, 3.29, 2.11, 1.74, 7.89, repro,
2007-09-04,2.42, -3.71, 8.88, 2.12, 1.76, 7.93, repro,
2007-09-05,1.30, -1.28, 13.65, 2.11, 1.75, 7.88, repro,
2007-09-06,2.45, -2.62, 14.32, 2.09, 1.75, 7.87, repro,
2007-09-07,2.81, -2.49, 9.50, 2.09, 1.75, 7.91, repro,
2007-09-08,2.24, -2.27, 8.80, 2.16, 1.82, 8.21, repro,
2007-09-09,0.68, -2.56, 9.91, 2.15, 1.8, 8.1, repro,
2007-09-10,3.23, -4.23, 11.75, 2.16, 1.79, 8, repro,
2007-09-11,1.87, -0.59, 10.69, 2.16, 1.78, 8.03, repro,
