PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS08
4-character ID, P465
Station name, HorseshoeMCS2007
Begin Date, 2007-06-13
End Date, 2018-10-02
Release Date, 2018-11-11
Source file, P465.nmt.igs08.pos
Offset from source file, 7.87 mm North, -61.79 mm East, 0.23 mm Vertical
Reference position, 36.4668343561 North Latitude, -118.1324333137 East Longitude, 2901.55284 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-06-13,0.00, 0.00, 0.00, 1.55, 1.38, 6.06, repro,
2007-06-14,-0.38, 0.78, 2.67, 1.45, 1.29, 5.73, repro,
2007-06-15,-0.23, -0.51, 0.02, 1.67, 1.49, 6.54, repro,
2007-06-16,0.06, 0.99, 6.96, 1.72, 1.55, 6.77, repro,
2007-06-17,0.47, 0.45, 1.64, 1.7, 1.52, 6.73, repro,
2007-06-18,0.08, 1.28, 1.94, 1.43, 1.28, 5.71, repro,
2007-06-19,-0.22, 0.64, 1.82, 1.45, 1.3, 5.77, repro,
2007-06-20,-0.57, 0.15, 2.45, 1.37, 1.23, 5.48, repro,
2007-06-21,0.36, 0.08, 1.16, 1.38, 1.25, 5.57, repro,
2007-06-22,-0.11, 0.84, 2.52, 1.4, 1.26, 5.69, repro,
2007-06-23,-0.06, 0.50, 4.25, 1.47, 1.31, 5.81, repro,
2007-06-24,0.00, -0.10, 5.01, 1.47, 1.32, 5.9, repro,
2007-06-25,-0.08, 0.21, -0.25, 1.37, 1.23, 5.51, repro,
2007-06-26,0.10, 0.63, -0.57, 1.38, 1.24, 5.43, repro,
2007-06-27,0.27, -0.24, -0.68, 1.42, 1.28, 5.65, repro,
2007-06-28,-0.64, -0.10, 3.31, 1.51, 1.35, 6.03, repro,
2007-06-29,-0.90, -0.68, 1.52, 1.48, 1.33, 5.88, repro,
2007-06-30,-0.53, 0.86, 0.07, 1.44, 1.31, 5.74, repro,
2007-07-01,-0.53, -0.72, 1.69, 1.48, 1.34, 5.85, repro,
2007-07-02,0.53, -1.05, 1.35, 1.51, 1.36, 6.05, repro,
2007-07-03,-0.09, -0.32, -0.44, 1.42, 1.28, 5.75, repro,
2007-07-04,0.48, -1.53, 2.24, 1.45, 1.31, 5.81, repro,
2007-07-05,0.28, 0.99, 4.30, 1.62, 1.46, 6.45, repro,
2007-07-06,1.34, -0.77, -6.91, 1.62, 1.46, 6.5, repro,
2007-07-07,1.62, 0.70, -3.42, 1.58, 1.44, 6.35, repro,
2007-07-08,0.42, -1.86, 4.60, 1.46, 1.32, 5.94, repro,
2007-07-09,0.80, -0.63, -0.49, 1.51, 1.36, 6.06, repro,
2007-07-10,0.41, -0.61, 0.57, 1.61, 1.45, 6.43, repro,
2007-07-11,0.84, 0.16, -2.07, 1.94, 1.77, 7.46, repro,
2007-07-12,-0.57, -1.17, -0.58, 1.86, 1.69, 7.25, repro,
2007-07-13,0.43, -0.72, 1.71, 1.64, 1.5, 6.51, repro,
2007-07-14,0.27, -2.28, -0.58, 1.76, 1.61, 7.03, repro,
2007-07-15,0.21, -1.71, -0.89, 1.65, 1.52, 6.63, repro,
2007-07-16,-1.19, -0.07, 6.69, 1.69, 1.55, 6.66, repro,
2007-07-17,-0.13, -1.58, 10.33, 1.65, 1.51, 6.48, repro,
2007-07-18,-0.65, -3.22, 3.71, 1.57, 1.44, 6.26, repro,
2007-07-19,-2.30, -3.52, 4.64, 1.65, 1.52, 6.32, repro,
2007-07-20,-1.11, -0.85, 4.73, 1.54, 1.41, 5.95, repro,
2007-07-21,0.54, -1.60, 3.47, 1.49, 1.38, 5.92, repro,
2007-07-22,0.28, -2.36, -0.82, 1.76, 1.61, 6.82, repro,
2007-07-23,0.24, -1.96, -2.81, 1.49, 1.36, 5.93, repro,
2007-07-24,0.27, -1.53, -6.50, 2.18, 1.98, 8.37, repro,
2007-07-25,0.12, -1.05, 5.79, 2.1, 1.86, 8.07, repro,
2007-07-26,-0.11, -1.13, -0.06, 1.74, 1.58, 6.77, repro,
2007-07-27,0.87, -0.98, 1.05, 1.83, 1.66, 7.15, repro,
2007-07-28,-0.24, -0.76, 3.58, 1.62, 1.46, 6.39, repro,
2007-07-29,-0.10, -1.51, 4.20, 1.63, 1.47, 6.4, repro,
2007-07-30,0.02, -0.92, 7.00, 1.56, 1.41, 6.24, repro,
2007-07-31,0.46, -1.58, 0.12, 1.74, 1.59, 6.91, repro,
2007-08-01,0.02, -1.72, 1.31, 1.86, 1.67, 7.29, repro,
2007-08-02,-0.61, -0.12, 10.64, 1.96, 1.78, 7.63, repro,
2007-08-03,0.17, -2.34, 3.67, 2.12, 1.9, 8.18, repro,
2007-08-04,-0.03, -0.35, 6.69, 1.65, 1.46, 6.46, repro,
2007-08-05,-0.75, 0.47, 2.75, 1.68, 1.5, 6.58, repro,
2007-08-06,0.06, 0.02, 1.36, 1.59, 1.43, 6.37, repro,
2007-08-07,0.23, -0.49, 5.05, 1.55, 1.39, 6.19, repro,
2007-08-08,-1.01, -1.68, 2.29, 1.46, 1.31, 5.85, repro,
