PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P465
Station name, HorseshoeMCS2007
Begin Date, 2007-06-13
End Date, 2018-09-15
Release Date, 2018-11-17
Source file, P465.nmt.nam08.pos
Offset from source file, 35.03 mm North, -29.79 mm East, -0.27 mm Vertical
Reference position, 36.4668343561 North Latitude, -118.1324333137 East Longitude, 2901.55284 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-06-13,0.00, 0.00, 0.00, 1.55, 1.38, 6.06, repro,
2007-06-14,-0.38, 0.86, 2.76, 1.45, 1.29, 5.72, repro,
2007-06-15,-0.20, -0.45, -0.48, 1.67, 1.49, 6.53, repro,
2007-06-16,0.19, 1.14, 7.05, 1.72, 1.55, 6.77, repro,
2007-06-17,0.60, 0.56, 1.28, 1.7, 1.52, 6.72, repro,
2007-06-18,0.29, 1.48, 2.26, 1.43, 1.28, 5.7, repro,
2007-06-19,-0.07, 0.96, 1.80, 1.45, 1.3, 5.76, repro,
2007-06-20,-0.34, 0.41, 2.49, 1.37, 1.23, 5.47, repro,
2007-06-21,0.69, 0.42, 1.45, 1.38, 1.25, 5.56, repro,
2007-06-22,0.15, 1.27, 2.72, 1.4, 1.26, 5.68, repro,
2007-06-23,0.26, 0.97, 4.75, 1.47, 1.31, 5.8, repro,
2007-06-24,0.35, 0.38, 5.00, 1.47, 1.32, 5.89, repro,
2007-06-25,0.25, 0.78, -0.25, 1.37, 1.23, 5.5, repro,
2007-06-26,0.50, 1.15, -0.63, 1.38, 1.24, 5.42, repro,
2007-06-27,0.72, 0.36, -0.54, 1.42, 1.28, 5.64, repro,
2007-06-28,-0.20, 0.45, 3.07, 1.51, 1.35, 6.02, repro,
2007-06-29,-0.45, -0.05, 1.49, 1.48, 1.33, 5.87, repro,
2007-06-30,-0.07, 1.50, 0.05, 1.44, 1.31, 5.73, repro,
2007-07-01,-0.02, -0.04, 1.69, 1.48, 1.34, 5.85, repro,
2007-07-02,1.15, -0.30, 1.65, 1.51, 1.36, 6.05, repro,
2007-07-03,0.58, 0.50, -0.08, 1.42, 1.28, 5.74, repro,
2007-07-04,1.21, -0.72, 2.75, 1.45, 1.31, 5.81, repro,
2007-07-05,0.95, 1.85, 4.60, 1.62, 1.46, 6.45, repro,
2007-07-06,2.14, 0.17, -6.29, 1.62, 1.46, 6.5, repro,
2007-07-07,2.44, 1.66, -2.79, 1.58, 1.44, 6.35, repro,
2007-07-08,1.27, -0.83, 5.45, 1.46, 1.32, 5.93, repro,
2007-07-09,1.60, 0.41, -0.32, 1.51, 1.36, 6.05, repro,
2007-07-10,1.25, 0.44, 1.03, 1.61, 1.45, 6.43, repro,
2007-07-11,1.67, 1.22, -1.94, 1.94, 1.77, 7.46, repro,
2007-07-12,0.41, -0.04, -0.08, 1.86, 1.69, 7.25, repro,
2007-07-13,1.40, 0.50, 2.36, 1.64, 1.5, 6.51, repro,
