PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS08
4-character ID, P465
Station name, HorseshoeMCS2007
Begin Date, 2007-06-13
End Date, 2018-09-15
Release Date, 2018-12-19
Source file, P465.pbo.igs08.pos
Offset from source file, 7.26 mm North, -62.23 mm East, 3.69 mm Vertical
Reference position, 36.4668343532 North Latitude, -118.1324333168 East Longitude, 2901.55442 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-06-13,0.00, 0.00, 0.00, 1.84, 1.63, 6.78, repro,
2007-06-14,-0.60, 0.85, -5.01, 1.55, 1.34, 5.69, repro,
2007-06-15,-0.85, -0.10, 2.62, 1.64, 1.41, 6.02, repro,
2007-06-16,-0.26, 1.31, 9.18, 1.67, 1.45, 6.18, repro,
2007-06-17,-0.04, 0.57, 3.93, 1.63, 1.41, 6.02, repro,
2007-06-18,-0.23, 1.42, 3.80, 1.51, 1.31, 5.58, repro,
2007-06-19,-0.45, 0.76, 1.74, 1.55, 1.34, 5.7, repro,
2007-06-20,-0.95, 0.62, -0.52, 1.47, 1.28, 5.46, repro,
2007-06-21,-0.34, -0.07, 1.03, 1.48, 1.29, 5.5, repro,
2007-06-22,0.06, 0.84, 3.86, 1.51, 1.31, 5.58, repro,
2007-06-23,0.08, 0.46, 1.95, 1.65, 1.43, 6.1, repro,
2007-06-24,-0.61, -0.06, 7.19, 1.55, 1.35, 5.78, repro,
2007-06-25,0.03, 0.17, 0.62, 1.47, 1.27, 5.42, repro,
2007-06-26,-0.16, 0.72, -0.69, 1.47, 1.28, 5.4, repro,
2007-06-27,0.15, -0.14, 0.36, 1.48, 1.29, 5.47, repro,
2007-06-28,-0.66, -0.13, 4.45, 1.51, 1.31, 5.58, repro,
2007-06-29,-1.09, -0.76, -0.44, 1.54, 1.32, 5.65, repro,
2007-06-30,-0.69, 0.54, 4.27, 1.51, 1.31, 5.61, repro,
2007-07-01,-0.81, -0.58, 3.06, 1.54, 1.34, 5.7, repro,
2007-07-02,0.07, -0.27, 3.73, 1.47, 1.28, 5.5, repro,
2007-07-03,-0.35, -0.53, 0.57, 1.49, 1.3, 5.57, repro,
2007-07-04,-0.13, -1.36, 1.74, 1.54, 1.34, 5.78, repro,
2007-07-05,-0.02, 1.17, 4.25, 1.66, 1.44, 6.19, repro,
2007-07-06,0.31, -0.05, -4.89, 1.63, 1.41, 6.09, repro,
2007-07-07,0.88, 1.26, -1.47, 1.6, 1.39, 5.96, repro,
2007-07-08,-0.43, -1.53, 7.33, 1.56, 1.37, 5.84, repro,
