PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P465
Station name, HorseshoeMCS2007
Begin Date, 2007-06-13
End Date, 2018-09-15
Release Date, 2018-11-17
Source file, P465.pbo.nam08.pos
Offset from source file, 34.42 mm North, -30.35 mm East, 2.97 mm Vertical
Reference position, 36.4668343532 North Latitude, -118.1324333168 East Longitude, 2901.55442 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-06-13,0.00, 0.00, 0.00, 1.84, 1.63, 6.78, repro,
2007-06-14,-0.65, 0.88, -5.46, 1.55, 1.34, 5.68, repro,
2007-06-15,-0.83, -0.09, 2.10, 1.64, 1.41, 6.02, repro,
2007-06-16,-0.16, 1.49, 9.29, 1.67, 1.45, 6.18, repro,
2007-06-17,0.09, 0.71, 4.08, 1.63, 1.41, 6.02, repro,
2007-06-18,-0.03, 1.65, 4.17, 1.51, 1.31, 5.57, repro,
2007-06-19,-0.26, 1.05, 2.17, 1.55, 1.34, 5.7, repro,
2007-06-20,-0.72, 0.88, -0.40, 1.47, 1.28, 5.45, repro,
2007-06-21,-0.06, 0.28, 1.35, 1.48, 1.29, 5.49, repro,
2007-06-22,0.35, 1.25, 4.26, 1.51, 1.31, 5.58, repro,
2007-06-23,0.45, 0.92, 2.41, 1.65, 1.43, 6.1, repro,
2007-06-24,-0.22, 0.45, 7.94, 1.55, 1.35, 5.78, repro,
2007-06-25,0.39, 0.67, 0.86, 1.47, 1.27, 5.42, repro,
2007-06-26,0.25, 1.22, -0.63, 1.47, 1.28, 5.4, repro,
2007-06-27,0.57, 0.44, 0.45, 1.48, 1.29, 5.46, repro,
2007-06-28,-0.22, 0.46, 4.65, 1.51, 1.31, 5.57, repro,
2007-06-29,-0.63, -0.13, -0.25, 1.54, 1.32, 5.64, repro,
2007-06-30,-0.18, 1.24, 4.60, 1.51, 1.31, 5.6, repro,
2007-07-01,-0.25, 0.18, 3.49, 1.54, 1.34, 5.7, repro,
2007-07-02,0.68, 0.50, 4.16, 1.47, 1.28, 5.49, repro,
2007-07-03,0.30, 0.26, 0.84, 1.49, 1.3, 5.57, repro,
2007-07-04,0.57, -0.57, 2.09, 1.54, 1.34, 5.78, repro,
2007-07-05,0.65, 2.05, 4.54, 1.66, 1.44, 6.19, repro,
2007-07-06,1.09, 0.92, -4.31, 1.63, 1.41, 6.08, repro,
2007-07-07,1.68, 2.20, -1.00, 1.6, 1.39, 5.96, repro,
2007-07-08,0.42, -0.49, 8.13, 1.56, 1.37, 5.83, repro,
2007-07-09,0.79, 0.78, 1.95, 1.56, 1.35, 5.82, repro,
2007-07-10,0.84, 0.68, 2.38, 1.63, 1.4, 6.07, repro,
2007-07-11,0.83, 1.50, 0.39, 1.76, 1.52, 6.55, repro,
2007-07-12,0.12, 0.33, -0.57, 1.72, 1.5, 6.42, repro,
2007-07-13,0.60, 0.60, 6.16, 1.57, 1.39, 5.87, repro,
2007-07-14,0.41, -0.12, 7.36, 1.59, 1.38, 5.97, repro,
2007-07-15,0.99, -0.04, 3.04, 1.53, 1.35, 5.76, repro,
2007-07-16,0.06, 1.18, 10.06, 1.69, 1.49, 6.36, repro,
2007-07-17,0.20, -0.24, 9.50, 1.6, 1.41, 5.95, repro,
2007-07-18,0.02, -1.06, 6.01, 1.5, 1.32, 5.62, repro,
2007-07-19,-1.25, -2.05, 8.18, 1.58, 1.39, 5.84, repro,
2007-07-20,-0.45, 0.67, 5.49, 1.54, 1.36, 5.72, repro,
2007-07-21,1.10, 0.19, 5.76, 1.46, 1.29, 5.46, repro,
2007-07-22,0.85, -0.39, 1.49, 1.68, 1.48, 6.27, repro,
2007-07-23,0.71, -0.05, 5.24, 1.54, 1.35, 5.74, repro,
2007-07-24,1.66, 0.35, -0.69, 1.95, 1.69, 7.26, repro,
2007-07-25,1.87, 0.96, 9.14, 1.9, 1.63, 7.11, repro,
2007-07-26,1.03, 0.90, 4.01, 1.66, 1.46, 6.23, repro,
2007-07-27,1.89, 0.90, 5.34, 1.81, 1.58, 6.81, repro,
2007-07-28,1.10, 0.74, 3.21, 1.65, 1.43, 6.16, repro,
2007-07-29,0.68, 0.15, 6.90, 1.66, 1.45, 6.2, repro,
2007-07-30,0.59, 0.70, 7.40, 1.61, 1.41, 6.01, repro,
2007-07-31,1.30, 0.16, 4.64, 1.59, 1.38, 5.91, repro,
2007-08-01,1.00, 0.00, 8.20, 1.69, 1.44, 6.29, repro,
2007-08-02,0.45, 1.92, 10.88, 1.8, 1.57, 6.74, repro,
2007-08-03,1.47, -0.08, 4.09, 1.89, 1.61, 7.01, repro,
2007-08-04,1.49, 0.87, 7.82, 1.67, 1.4, 6.1, repro,
2007-08-05,0.76, 1.97, 6.24, 1.64, 1.41, 6.1, repro,
2007-08-06,0.95, 1.99, 2.32, 1.57, 1.36, 5.85, repro,
2007-08-07,1.07, 1.32, 1.94, 1.54, 1.32, 5.71, repro,
2007-08-08,0.48, -0.11, 3.71, 1.54, 1.32, 5.73, repro,
2007-08-09,0.37, -0.01, 0.86, 1.58, 1.37, 5.88, repro,
2007-08-10,0.80, -0.35, 10.50, 1.5, 1.31, 5.6, repro,
2007-08-11,0.86, -1.82, 5.02, 1.59, 1.38, 5.94, repro,
2007-08-12,0.69, 1.07, -0.37, 1.62, 1.41, 6.06, repro,
2007-08-13,2.00, -1.55, 0.01, 1.67, 1.45, 6.27, repro,
2007-08-14,1.35, 0.67, 1.10, 1.65, 1.42, 6.13, repro,
2007-08-15,1.32, 0.13, -0.04, 1.68, 1.47, 6.33, repro,
2007-08-16,1.29, 0.33, 9.55, 1.69, 1.45, 6.32, repro,
