PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS08
4-character ID, P467
Station name, AlabamaHilCS2006
Begin Date, 2006-03-17
End Date, 2019-08-21
Release Date, 2019-08-22
Source file, P467.cwu.igs08.pos
Offset from source file, -9.01 mm North, -77.44 mm East, -3.57 mm Vertical
Reference position, 36.5702022978 North Latitude, -118.0906232197 East Longitude, 1380.12800 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-03-17,0.00, 0.00, 0.00, 2.18, 1.75, 8.25, repro,
2006-03-18,-1.08, -2.42, -2.95, 2.05, 1.69, 7.87, repro,
2006-03-19,-0.44, -1.77, -4.70, 2.07, 1.7, 7.89, repro,
2006-03-20,-1.36, -1.69, -1.19, 2.08, 1.69, 7.9, repro,
2006-03-21,-1.62, -3.75, -6.75, 2.05, 1.68, 7.79, repro,
2006-03-22,-0.46, -2.62, -8.72, 2.05, 1.68, 7.82, repro,
2006-03-23,-0.95, -1.66, -7.85, 2.1, 1.7, 7.97, repro,
2006-03-24,-1.13, -0.66, 0.93, 2.13, 1.7, 8.07, repro,
2006-03-25,-2.89, -2.26, -17.93, 2.13, 1.71, 8.09, repro,
2006-03-26,-1.02, -2.39, -1.37, 2.43, 1.92, 9.23, repro,
2006-03-27,0.48, -1.78, -3.27, 2.1, 1.71, 7.96, repro,
2006-03-28,-5.40, -3.92, 1.81, 2.04, 1.69, 7.86, repro,
2006-03-29,-0.20, -3.12, -11.86, 2, 1.67, 7.78, repro,
2006-03-30,-0.33, -3.35, 7.36, 2.02, 1.66, 7.83, repro,
2006-03-31,-2.36, -4.39, -2.90, 2.01, 1.66, 7.76, repro,
2006-04-01,-0.39, -3.36, 5.18, 2.01, 1.66, 7.79, repro,
2006-04-02,-0.34, -2.50, -2.13, 2.05, 1.77, 8.2, repro,
2006-04-03,-4.93, -0.34, 3.98, 1.99, 1.66, 7.77, repro,
2006-04-04,-1.79, -9.44, -37.70, 2.05, 1.72, 8.1, repro,
2006-04-05,-2.16, -6.13, -7.77, 2.05, 1.75, 8.08, repro,
2006-04-06,-1.12, -3.24, -1.58, 2.04, 1.7, 7.89, repro,
2006-04-07,-1.01, -6.06, -11.42, 2.16, 1.83, 8.42, repro,
2006-04-08,-2.73, -6.18, -0.07, 2.06, 1.69, 7.92, repro,
2006-04-09,-4.71, -5.65, 0.18, 2.03, 1.72, 8.02, repro,
2006-04-10,-0.92, -4.69, -1.76, 2.03, 1.7, 7.92, repro,
2006-04-11,-0.93, -6.42, -11.10, 2.1, 1.74, 8.26, repro,
2006-04-12,-4.20, -8.07, -15.26, 2.1, 1.73, 8.24, repro,
2006-04-13,-3.82, -8.24, -18.72, 2.02, 1.7, 7.9, repro,
2006-04-14,-0.65, -8.92, -19.91, 2.01, 1.66, 7.85, repro,
2006-04-15,-0.35, -3.76, -3.94, 2.16, 1.73, 8.2, repro,
2006-04-16,-4.03, -5.35, -9.87, 2.02, 1.7, 7.91, repro,
2006-04-17,-6.18, -8.90, -1.40, 2.01, 1.68, 7.82, repro,
2006-04-18,-0.94, -3.77, -3.33, 2.04, 1.72, 8.08, repro,
2006-04-19,0.61, -4.64, -11.45, 2.03, 1.73, 8.05, repro,
2006-04-20,-0.68, -5.07, -0.06, 2.08, 1.76, 8.32, repro,
2006-04-21,0.56, -4.90, -6.96, 2.01, 1.66, 7.78, repro,
2006-04-22,-2.99, -3.65, 2.50, 2.01, 1.69, 7.88, repro,
2006-04-23,-0.80, -4.66, -7.82, 2.05, 1.71, 8.06, repro,
2006-04-24,-1.18, -5.20, -6.61, 2.03, 1.73, 8.06, repro,
2006-04-25,-0.29, -4.83, -11.76, 2.06, 1.74, 8.14, repro,
2006-04-26,1.18, -4.95, -4.50, 2.09, 1.75, 8.25, repro,
2006-04-27,0.40, -4.61, -5.01, 2.13, 1.77, 8.28, repro,
2006-04-28,1.83, -5.11, -13.02, 2.06, 1.67, 7.9, repro,
2006-04-29,-2.22, -5.98, -8.11, 2.01, 1.67, 7.91, repro,
2006-04-30,-0.85, -5.50, -1.57, 2.02, 1.67, 7.9, repro,
2006-05-01,1.23, -3.31, -10.00, 2.03, 1.65, 7.86, repro,
2006-05-02,-1.47, -5.88, -2.10, 2.04, 1.67, 7.87, repro,
2006-05-03,-2.87, -4.76, 3.90, 2.02, 1.67, 7.79, repro,
2006-05-04,0.37, -4.68, -6.08, 2, 1.65, 7.76, repro,
2006-05-05,-0.03, -6.10, -15.07, 2.03, 1.66, 7.87, repro,
2006-05-06,0.23, -5.25, -7.54, 2.02, 1.66, 7.87, repro,
2006-05-07,-0.33, -5.97, -2.43, 2.03, 1.66, 7.82, repro,
2006-05-08,-1.32, -5.66, -4.10, 2.04, 1.67, 7.88, repro,
2006-05-09,-0.30, -5.83, -3.68, 2.08, 1.69, 8.04, repro,
2006-05-10,-0.35, -6.11, -10.73, 2.1, 1.72, 8.2, repro,
2006-05-11,-2.50, -4.25, -2.06, 2.04, 1.7, 8.07, repro,
2006-05-12,-1.32, -6.35, -8.17, 2.05, 1.7, 7.99, repro,
2006-05-13,-0.34, -5.15, -5.20, 2.02, 1.67, 7.86, repro,
2006-05-14,-0.97, -6.36, -17.62, 2.02, 1.67, 7.87, repro,
2006-05-15,-1.21, -5.09, -5.94, 2.01, 1.66, 7.83, repro,
2006-05-16,-1.96, -5.57, -4.31, 2.04, 1.71, 7.98, repro,
2006-05-17,-0.89, -6.17, -6.50, 2.05, 1.71, 7.98, repro,
2006-05-18,0.19, -6.59, -0.38, 2.14, 1.74, 8.23, repro,
2006-05-19,-3.29, -5.43, -1.07, 2.1, 1.69, 8.02, repro,
2006-05-20,-7.62, -5.58, -2.26, 2.3, 1.95, 8.88, repro,
2006-05-21,-9.40, -11.09, -8.15, 2.13, 1.73, 8.21, repro,
2006-05-22,-2.08, -7.10, 1.90, 2.13, 1.74, 8.17, repro,
2006-05-23,-1.67, -7.36, -4.37, 2.11, 1.69, 8, repro,
2006-05-24,-0.92, -6.10, -3.31, 2.12, 1.7, 8.08, repro,
2006-05-25,-1.92, -5.77, -0.93, 2.18, 1.76, 8.41, repro,
2006-05-26,-1.01, -5.34, -5.38, 2.25, 1.73, 8.53, repro,
2006-05-27,-3.59, -4.79, -1.14, 2.16, 1.71, 8.14, repro,
2006-05-28,0.37, -7.30, -2.01, 2.09, 1.67, 7.95, repro,
2006-05-29,-0.84, -5.53, -0.13, 2.11, 1.69, 8, repro,
2006-05-30,-1.09, -5.53, 0.93, 2.15, 1.73, 8.22, repro,
2006-05-31,-1.01, -5.72, -8.37, 2.25, 1.82, 8.61, repro,
2006-06-01,-0.39, -4.97, -0.55, 2.22, 1.75, 8.39, repro,
2006-06-02,0.57, -7.35, -5.70, 2.17, 1.74, 8.24, repro,
2006-06-03,-1.58, -6.59, -3.11, 2.18, 1.73, 8.19, repro,
2006-06-04,-2.42, -5.03, -5.16, 2.19, 1.75, 8.27, repro,
2006-06-05,-2.11, -5.94, 3.63, 2.16, 1.73, 8.19, repro,
2006-06-06,-1.26, -6.80, -1.00, 2.22, 1.75, 8.37, repro,
2006-06-07,-1.88, -6.41, -7.94, 2.25, 1.77, 8.47, repro,
2006-06-08,-0.77, -7.70, 0.51, 2.21, 1.75, 8.28, repro,
2006-06-09,-1.00, -6.74, -10.86, 2.26, 1.75, 8.39, repro,
2006-06-10,-1.00, -5.08, 5.58, 2.21, 1.81, 8.64, repro,
2006-06-11,-2.21, -5.01, 5.20, 2.21, 1.75, 8.33, repro,
2006-06-12,-6.06, -6.04, -5.90, 2.34, 1.87, 8.83, repro,
2006-06-13,-5.09, -10.45, -25.73, 2.1, 1.68, 7.98, repro,
2006-06-14,-1.65, -3.24, 0.00, 2.13, 1.69, 8.02, repro,
2006-06-15,0.67, -7.16, -0.98, 2.14, 1.7, 8.09, repro,
2006-06-16,-0.99, -6.40, 2.68, 2.29, 1.81, 8.7, repro,
2006-06-17,-1.05, -6.25, 0.26, 2.12, 1.69, 8.07, repro,
2006-06-18,-1.54, -6.25, 0.52, 2.17, 1.76, 8.41, repro,
2006-06-19,0.24, -8.11, -1.80, 2.21, 1.79, 8.58, repro,
2006-06-20,-1.45, -5.06, 0.18, 2.21, 1.82, 8.48, repro,
2006-06-21,-0.94, -6.64, -2.79, 2.39, 1.88, 9.13, repro,
2006-06-22,-1.92, -6.35, -2.13, 2.18, 1.76, 8.37, repro,
2006-06-23,-0.07, -7.00, -16.76, 2.2, 1.76, 8.42, repro,
2006-06-24,-0.62, -6.70, -10.31, 2.13, 1.72, 8.28, repro,
2006-06-25,-1.64, -5.31, -4.99, 2.17, 1.75, 8.36, repro,
2006-06-26,-2.61, -5.68, -5.31, 2.16, 1.79, 8.44, repro,
2006-06-27,-3.38, -7.42, -5.90, 2.22, 1.86, 8.63, repro,
2006-06-28,-0.97, -5.25, -8.49, 2.17, 1.79, 8.47, repro,
2006-06-29,-1.21, -7.06, -5.06, 2.17, 1.78, 8.52, repro,
2006-06-30,-2.53, -6.36, -2.60, 2.08, 1.68, 8.08, repro,
2006-07-01,-2.39, -4.26, 2.93, 2.1, 1.71, 8.2, repro,
2006-07-02,-2.13, -4.88, -4.87, 2.09, 1.69, 8.15, repro,
2006-07-03,-0.88, -6.12, -11.52, 2.13, 1.73, 8.15, repro,
2006-07-04,-1.81, -5.97, -1.03, 2.13, 1.73, 8.19, repro,
2006-07-05,-3.62, -7.34, -10.44, 2.08, 1.69, 8.13, repro,
2006-07-06,-0.77, -7.37, -15.31, 2.12, 1.75, 8.46, repro,
2006-07-07,-2.05, -6.93, -14.02, 2.09, 1.69, 8.15, repro,
2006-07-08,-2.48, -7.53, -16.56, 2.09, 1.69, 8.09, repro,
2006-07-09,-1.35, -5.64, -10.40, 2.1, 1.69, 8.07, repro,
2006-07-10,-1.07, -7.77, -6.38, 2.1, 1.69, 8.18, repro,
2006-07-11,-1.93, -6.07, -3.29, 2.08, 1.67, 8.11, repro,
2006-07-12,-3.70, -5.91, -10.35, 2.1, 1.69, 8.15, repro,
2006-07-13,-2.71, -6.36, -1.88, 2.09, 1.68, 8.03, repro,
2006-07-14,-2.13, -6.68, -1.71, 2.14, 1.72, 8.21, repro,
2006-07-15,-1.87, -6.03, -0.57, 2.14, 1.74, 8.34, repro,
2006-07-16,-1.89, -6.77, -9.41, 2.09, 1.7, 8.21, repro,
2006-07-17,-2.16, -5.66, -6.62, 2.12, 1.74, 8.43, repro,
2006-07-18,-3.55, -6.48, 2.76, 2.02, 1.67, 7.81, repro,
2006-07-19,-3.81, -7.13, 0.27, 2.03, 1.67, 7.87, repro,
2006-07-20,-2.25, -6.84, -9.39, 2.13, 1.74, 8.31, repro,
2006-07-21,-1.65, -5.50, -10.67, 2.06, 1.71, 8.02, repro,
2006-07-22,-2.75, -4.65, -1.70, 2.18, 1.79, 8.42, repro,
2006-07-23,-0.17, -7.16, -11.99, 2.01, 1.67, 7.82, repro,
2006-07-24,-2.08, -6.88, -10.16, 2.02, 1.67, 7.83, repro,
2006-07-25,-1.61, -6.32, -7.12, 2.02, 1.67, 7.9, repro,
2006-07-26,-2.36, -4.54, -1.18, 2.03, 1.67, 7.86, repro,
2006-07-27,-1.50, -7.22, -7.07, 2.05, 1.72, 7.98, repro,
2006-07-28,-1.10, -4.47, -6.79, 2.1, 1.78, 8.35, repro,
2006-07-29,-3.96, -6.20, -10.15, 2.07, 1.73, 7.95, repro,
2006-07-30,0.35, -6.27, 8.38, 2.39, 2.09, 10.19, repro,
2006-07-31,-0.40, -5.63, 20.96, 2.75, 2.58, 13.04, repro,
2006-08-01,-2.64, -4.20, 28.69, 4.26, 4.04, 21.19, repro,
2006-08-02,-3.17, -6.84, -1.26, 4.44, 4.73, 24.46, repro,
