PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P467
Station name, AlabamaHilCS2006
Begin Date, 2006-03-17
End Date, 2019-08-21
Release Date, 2019-08-22
Source file, P467.cwu.nam08.pos
Offset from source file, 31.05 mm North, -29.53 mm East, -4.58 mm Vertical
Reference position, 36.5702022978 North Latitude, -118.0906232197 East Longitude, 1380.12800 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-03-17,0.00, 0.00, 0.00, 2.18, 1.75, 8.24, repro,
2006-03-18,-1.27, -2.23, -3.00, 2.05, 1.69, 7.86, repro,
2006-03-19,-0.45, -1.47, -4.13, 2.07, 1.7, 7.88, repro,
2006-03-20,-1.54, -1.27, -1.99, 2.08, 1.69, 7.89, repro,
2006-03-21,-1.74, -3.59, -8.31, 2.05, 1.68, 7.78, repro,
2006-03-22,-0.39, -2.22, -9.23, 2.05, 1.68, 7.81, repro,
2006-03-23,-0.95, -1.35, -8.11, 2.1, 1.7, 7.96, repro,
2006-03-24,-1.06, -0.31, -0.44, 2.13, 1.7, 8.06, repro,
2006-03-25,-2.83, -1.74, -18.53, 2.13, 1.71, 8.08, repro,
2006-03-26,-1.12, -2.00, -2.09, 2.43, 1.92, 9.22, repro,
2006-03-27,0.56, -1.25, -4.29, 2.1, 1.71, 7.95, repro,
2006-03-28,-4.85, -3.47, 1.44, 2.04, 1.69, 7.85, repro,
2006-03-29,-0.14, -2.52, -12.42, 2, 1.67, 7.77, repro,
2006-03-30,-0.23, -2.57, 6.15, 2.02, 1.66, 7.82, repro,
2006-03-31,-2.15, -3.61, -3.44, 2.01, 1.66, 7.75, repro,
2006-04-01,-0.10, -2.64, 4.91, 2.01, 1.66, 7.78, repro,
2006-04-02,-0.21, -1.48, -2.21, 2.05, 1.77, 8.19, repro,
2006-04-03,-4.64, 0.62, 2.49, 1.99, 1.66, 7.76, repro,
2006-04-04,-1.43, -8.23, -37.85, 2.05, 1.72, 8.09, repro,
2006-04-05,-1.78, -5.37, -8.66, 2.05, 1.75, 8.07, repro,
2006-04-06,-0.81, -2.35, -3.89, 2.04, 1.7, 7.88, repro,
2006-04-07,-0.78, -4.87, -12.69, 2.16, 1.83, 8.41, repro,
2006-04-08,-2.49, -5.19, -1.81, 2.06, 1.69, 7.91, repro,
2006-04-09,-4.35, -4.54, -1.95, 2.03, 1.72, 8.01, repro,
2006-04-10,-0.55, -3.55, -2.76, 2.03, 1.7, 7.91, repro,
2006-04-11,-0.67, -5.03, -12.03, 2.1, 1.74, 8.25, repro,
2006-04-12,-3.73, -6.90, -17.76, 2.1, 1.73, 8.23, repro,
2006-04-13,-3.35, -7.13, -21.99, 2.02, 1.7, 7.89, repro,
2006-04-14,-0.08, -7.60, -22.81, 2.01, 1.66, 7.84, repro,
2006-04-15,0.18, -2.27, -4.65, 2.16, 1.73, 8.19, repro,
2006-04-16,-3.14, -3.80, -9.15, 2.02, 1.7, 7.9, repro,
2006-04-17,-5.66, -7.49, -2.22, 2.01, 1.68, 7.81, repro,
2006-04-18,-0.49, -2.25, -4.86, 2.04, 1.72, 8.07, repro,
2006-04-19,0.83, -3.16, -12.88, 2.03, 1.73, 8.04, repro,
2006-04-20,-0.24, -3.44, -0.53, 2.08, 1.76, 8.31, repro,
2006-04-21,1.25, -3.31, -7.17, 2.01, 1.66, 7.77, repro,
2006-04-22,-2.44, -1.96, 2.59, 2.01, 1.69, 7.87, repro,
2006-04-23,0.00, -3.09, -7.83, 2.05, 1.71, 8.05, repro,
