PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS08
4-character ID, P467
Station name, AlabamaHilCS2006
Begin Date, 2006-03-17
End Date, 2018-10-02
Release Date, 2018-11-11
Source file, P467.nmt.igs08.pos
Offset from source file, -8.99 mm North, -77.23 mm East, -4.50 mm Vertical
Reference position, 36.5702022947 North Latitude, -118.0906232152 East Longitude, 1380.13029 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-03-17,0.00, 0.00, 0.00, 1.4, 1.32, 5.8, repro,
2006-03-18,-1.42, -1.36, -6.31, 1.38, 1.31, 5.85, repro,
2006-03-19,-0.70, -0.84, -4.36, 1.3, 1.21, 5.4, repro,
2006-03-20,-1.29, -1.78, -0.46, 1.43, 1.36, 5.89, repro,
2006-03-21,-1.88, -2.08, -5.03, 1.66, 1.6, 6.69, repro,
2006-03-22,-0.42, -1.77, -9.43, 1.25, 1.19, 5.18, repro,
2006-03-23,-0.82, -0.27, -10.36, 1.2, 1.19, 4.95, repro,
2006-03-24,-1.79, -0.47, -3.25, 1.4, 1.37, 5.65, repro,
2006-03-25,-4.19, -3.98, -21.90, 3.23, 3.21, 12.74, repro,
2006-03-26,-0.74, -1.92, 0.90, 1.47, 1.44, 5.87, repro,
2006-03-27,-0.40, -0.68, 1.16, 1.32, 1.3, 5.32, repro,
2006-03-28,-4.42, -5.04, -5.45, 1.66, 1.63, 6.75, repro,
2006-03-29,0.34, -2.97, -6.88, 1.75, 1.66, 6.99, repro,
2006-03-30,-0.39, -2.50, 4.58, 1.18, 1.12, 4.95, repro,
2006-03-31,-2.02, -3.84, -1.73, 1.44, 1.36, 5.85, repro,
2006-04-01,-0.01, -3.23, 1.23, 1.71, 1.61, 6.87, repro,
2006-04-02,-1.07, -1.44, -2.24, 1.28, 1.2, 5.3, repro,
2006-04-03,-5.39, -4.23, -5.01, 2.03, 2, 8.09, repro,
