PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P467
Station name, AlabamaHilCS2006
Begin Date, 2006-03-17
End Date, 2018-09-15
Release Date, 2018-11-17
Source file, P467.nmt.nam08.pos
Offset from source file, 31.14 mm North, -29.12 mm East, -4.87 mm Vertical
Reference position, 36.5702022947 North Latitude, -118.0906232152 East Longitude, 1380.13029 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-03-17,0.00, 0.00, 0.00, 1.4, 1.32, 5.79, repro,
2006-03-18,-1.52, -1.19, -6.11, 1.38, 1.31, 5.84, repro,
2006-03-19,-0.67, -0.67, -3.94, 1.3, 1.21, 5.39, repro,
2006-03-20,-1.25, -1.51, -0.14, 1.43, 1.36, 5.88, repro,
2006-03-21,-1.75, -1.73, -3.46, 1.66, 1.6, 6.68, repro,
2006-03-22,-0.37, -1.48, -9.75, 1.25, 1.19, 5.17, repro,
2006-03-23,-0.74, -0.13, -11.15, 1.2, 1.19, 4.94, repro,
2006-03-24,-1.72, -0.27, -3.76, 1.4, 1.37, 5.64, repro,
2006-03-25,-4.01, -3.66, -21.94, 3.23, 3.21, 12.74, repro,
2006-03-26,-0.65, -1.45, 0.60, 1.47, 1.44, 5.86, repro,
2006-03-27,-0.23, -0.30, 0.82, 1.32, 1.3, 5.31, repro,
2006-03-28,-4.05, -4.67, -4.37, 1.66, 1.63, 6.74, repro,
2006-03-29,0.50, -2.53, -6.37, 1.75, 1.66, 6.98, repro,
2006-03-30,-0.13, -1.96, 4.46, 1.18, 1.12, 4.94, repro,
2006-03-31,-1.75, -3.22, -1.73, 1.44, 1.36, 5.84, repro,
2006-04-01,0.29, -2.73, 1.13, 1.71, 1.61, 6.86, repro,
2006-04-02,-0.72, -0.75, -2.13, 1.28, 1.2, 5.29, repro,
2006-04-03,-4.88, -3.49, -4.64, 2.03, 2, 8.08, repro,
2006-04-04,-1.39, -7.69, -39.29, 2.26, 2.23, 9.02, repro,
2006-04-05,-2.43, -5.00, -5.17, 1.84, 1.83, 7.59, repro,
2006-04-06,-1.10, -1.42, 0.68, 1.22, 1.19, 5.13, repro,
2006-04-07,-2.27, -4.58, -6.77, 1.35, 1.32, 5.64, repro,
2006-04-08,-1.91, -2.04, 1.02, 1.74, 1.71, 7.17, repro,
2006-04-09,-4.57, -5.25, -3.58, 1.4, 1.37, 5.87, repro,
2006-04-10,-0.45, -2.71, 2.53, 1.42, 1.37, 5.93, repro,
2006-04-11,-0.37, -4.33, -10.73, 1.55, 1.5, 6.5, repro,
2006-04-12,-4.63, -7.05, -12.86, 1.5, 1.48, 6.32, repro,
2006-04-13,-3.42, -5.30, -15.53, 1.51, 1.5, 6.28, repro,
2006-04-14,-0.89, -5.75, -15.78, 1.52, 1.48, 6.36, repro,
2006-04-15,0.12, -1.66, 1.43, 1.29, 1.27, 5.54, repro,
2006-04-16,-2.56, -5.50, -6.97, 2.17, 2.13, 8.98, repro,
2006-04-17,-3.08, -3.19, -7.06, 1.97, 1.94, 8.2, repro,
2006-04-18,-0.24, -2.71, -4.17, 1.16, 1.14, 5.02, repro,
2006-04-19,0.21, -2.68, -7.71, 1.17, 1.14, 5.06, repro,
2006-04-20,-0.12, -2.58, -4.33, 1.16, 1.13, 5, repro,
2006-04-21,1.07, -1.56, -6.43, 1.52, 1.48, 6.32, repro,
2006-04-22,-1.74, -1.97, -0.71, 1.64, 1.59, 6.73, repro,
2006-04-23,-0.51, -2.91, -5.63, 1.57, 1.51, 6.39, repro,
2006-04-24,0.09, -3.43, -5.82, 1.25, 1.21, 5.35, repro,
2006-04-25,0.43, -1.75, -8.06, 1.45, 1.38, 6.03, repro,
2006-04-26,1.21, -2.96, 0.10, 1.52, 1.47, 6.31, repro,
2006-04-27,1.95, -1.28, -10.05, 1.58, 1.47, 6.39, repro,
2006-04-28,2.54, -3.92, -6.51, 1.68, 1.59, 6.82, repro,
2006-04-29,-0.90, -3.46, -6.06, 1.58, 1.49, 6.5, repro,
2006-04-30,0.99, -2.90, 2.11, 1.88, 1.79, 7.76, repro,
2006-05-01,1.18, -2.27, -4.89, 1.65, 1.56, 6.82, repro,
2006-05-02,0.40, -2.67, 1.45, 1.44, 1.36, 6.02, repro,
2006-05-03,-1.31, -2.76, -1.12, 1.52, 1.43, 6.27, repro,
2006-05-04,0.59, -1.63, -9.92, 1.51, 1.41, 6.2, repro,
2006-05-05,1.20, -2.74, -11.39, 1.36, 1.29, 5.73, repro,
2006-05-06,1.26, -3.33, -5.70, 1.51, 1.42, 6.26, repro,
2006-05-07,0.15, -3.24, -6.12, 1.25, 1.17, 5.28, repro,
2006-05-08,0.43, -3.11, -5.61, 1.39, 1.31, 5.78, repro,
2006-05-09,-0.01, -3.11, -4.93, 1.48, 1.42, 6.1, repro,
2006-05-10,-0.02, -3.10, -8.94, 1.24, 1.16, 5.23, repro,
2006-05-11,-0.87, -1.69, -4.05, 1.45, 1.36, 6.03, repro,
