PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS08
4-character ID, P467
Station name, AlabamaHilCS2006
Begin Date, 2006-03-17
End Date, 2018-09-15
Release Date, 2018-12-19
Source file, P467.pbo.igs08.pos
Offset from source file, -9.07 mm North, -77.55 mm East, -2.02 mm Vertical
Reference position, 36.5702022937 North Latitude, -118.0906232195 East Longitude, 1380.13115 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-03-17,0.00, 0.00, 0.00, 1.55, 1.39, 5.97, repro,
2006-03-18,-1.33, -1.68, -5.34, 1.46, 1.32, 5.6, repro,
2006-03-19,-0.82, -0.98, -6.53, 1.38, 1.23, 5.22, repro,
2006-03-20,-1.37, -1.76, -1.23, 1.53, 1.39, 5.88, repro,
2006-03-21,-1.89, -2.84, -6.78, 1.69, 1.54, 6.5, repro,
2006-03-22,-0.52, -2.18, -8.47, 1.37, 1.26, 5.3, repro,
2006-03-23,-0.90, -0.94, -7.99, 1.36, 1.27, 5.17, repro,
2006-03-24,-1.65, -0.61, -1.78, 1.54, 1.42, 5.85, repro,
2006-03-25,-3.06, -2.65, -19.38, 2.5, 2.13, 9.53, repro,
2006-03-26,-1.16, -2.05, -0.97, 1.61, 1.49, 6.15, repro,
2006-03-27,-0.21, -1.27, 0.04, 1.46, 1.36, 5.54, repro,
2006-03-28,-4.87, -4.76, -1.12, 1.67, 1.55, 6.5, repro,
2006-03-29,0.08, -3.22, -9.50, 1.76, 1.59, 6.82, repro,
2006-03-30,-0.37, -3.12, 5.96, 1.32, 1.2, 5.1, repro,
2006-03-31,-2.01, -4.31, -3.16, 1.54, 1.39, 5.92, repro,
2006-04-01,-0.19, -3.39, 1.22, 1.77, 1.57, 6.81, repro,
2006-04-02,-0.83, -2.22, -3.25, 1.42, 1.3, 5.52, repro,
2006-04-03,-5.09, -1.99, -0.41, 1.96, 1.76, 7.59, repro,
2006-04-04,-1.68, -9.11, -37.22, 2.09, 1.88, 8.21, repro,
2006-04-05,-2.53, -6.09, -7.95, 1.86, 1.73, 7.41, repro,
2006-04-06,-1.15, -2.70, -1.37, 1.37, 1.28, 5.39, repro,
2006-04-07,-2.11, -5.80, -7.71, 1.53, 1.44, 6.05, repro,
2006-04-08,-2.27, -4.55, -0.48, 1.83, 1.66, 7.18, repro,
2006-04-09,-4.88, -6.26, -1.43, 1.55, 1.45, 6.19, repro,
2006-04-10,-0.66, -4.09, -2.83, 1.41, 1.32, 5.6, repro,
2006-04-11,-0.57, -6.11, -11.44, 1.55, 1.43, 6.17, repro,
2006-04-12,-4.87, -8.34, -13.79, 1.62, 1.5, 6.49, repro,
2006-04-13,-3.83, -7.36, -17.23, 1.6, 1.49, 6.31, repro,
2006-04-14,-1.23, -7.87, -18.34, 1.56, 1.44, 6.19, repro,
2006-04-15,-0.27, -3.34, -2.70, 1.42, 1.33, 5.63, repro,
2006-04-16,-3.40, -5.90, -10.05, 2.01, 1.82, 7.97, repro,
2006-04-17,-4.72, -6.77, -6.15, 1.91, 1.73, 7.61, repro,
2006-04-18,-0.93, -3.85, -5.26, 1.28, 1.21, 5.09, repro,
2006-04-19,-0.07, -4.22, -8.89, 1.29, 1.22, 5.15, repro,
2006-04-20,-0.74, -4.20, -1.68, 1.29, 1.22, 5.15, repro,
2006-04-21,0.50, -3.79, -8.14, 1.59, 1.46, 6.26, repro,
2006-04-22,-2.55, -3.47, 2.03, 1.71, 1.57, 6.73, repro,
2006-04-23,-1.12, -4.52, -6.07, 1.63, 1.5, 6.39, repro,
2006-04-24,-1.01, -5.18, -5.41, 1.38, 1.3, 5.5, repro,
2006-04-25,-0.51, -3.81, -10.62, 1.54, 1.41, 6.09, repro,
2006-04-26,0.62, -4.75, -1.27, 1.65, 1.51, 6.5, repro,
2006-04-27,0.90, -3.75, -10.50, 1.63, 1.47, 6.32, repro,
2006-04-28,1.80, -5.53, -12.87, 1.76, 1.57, 6.82, repro,
2006-04-29,-1.97, -5.70, -10.21, 1.63, 1.47, 6.4, repro,
2006-04-30,-0.30, -5.09, -1.24, 1.87, 1.67, 7.44, repro,
2006-05-01,0.77, -3.72, -9.91, 1.71, 1.53, 6.75, repro,
2006-05-02,-1.03, -4.91, 0.09, 1.48, 1.34, 5.82, repro,
2006-05-03,-2.72, -4.81, 0.72, 1.6, 1.44, 6.28, repro,
2006-05-04,-0.09, -3.96, -6.74, 1.53, 1.38, 6.03, repro,
2006-05-05,0.24, -5.13, -13.40, 1.48, 1.35, 5.83, repro,
2006-05-06,0.22, -5.37, -7.73, 1.63, 1.46, 6.42, repro,
2006-05-07,-0.84, -5.42, -3.30, 1.37, 1.24, 5.44, repro,
2006-05-08,-0.97, -5.46, -3.76, 1.46, 1.31, 5.68, repro,
2006-05-09,-1.00, -5.15, -3.65, 1.53, 1.37, 6, repro,
2006-05-10,-1.00, -5.56, -7.77, 1.35, 1.23, 5.29, repro,
2006-05-11,-2.37, -4.12, -1.98, 1.55, 1.4, 6.09, repro,
2006-05-12,-1.38, -5.53, -7.66, 1.4, 1.28, 5.43, repro,
2006-05-13,-0.83, -4.38, -3.66, 1.53, 1.37, 5.96, repro,
2006-05-14,-1.00, -5.98, -15.32, 1.56, 1.4, 6.05, repro,
2006-05-15,-1.61, -5.16, -5.47, 1.48, 1.32, 5.76, repro,
2006-05-16,-1.80, -5.38, -4.04, 1.36, 1.24, 5.39, repro,
2006-05-17,-0.85, -5.73, -4.37, 1.47, 1.32, 5.72, repro,
2006-05-18,-0.15, -5.63, -2.00, 1.7, 1.5, 6.57, repro,
2006-05-19,-2.32, -4.86, -2.47, 1.81, 1.56, 6.85, repro,
2006-05-20,-7.33, -5.10, -7.73, 2.35, 2.06, 9.05, repro,
2006-05-21,-9.12, -12.90, -9.68, 2.03, 1.75, 7.74, repro,
2006-05-22,-1.75, -6.36, -3.25, 1.72, 1.49, 6.63, repro,
2006-05-23,-1.65, -6.91, -4.98, 1.49, 1.3, 5.62, repro,
2006-05-24,-0.78, -5.59, -2.00, 1.59, 1.38, 6.03, repro,
2006-05-25,-1.65, -5.38, -0.71, 1.7, 1.48, 6.55, repro,
2006-05-26,-1.35, -5.29, -1.89, 1.63, 1.41, 6.28, repro,
2006-05-27,-3.53, -5.39, 0.03, 1.82, 1.56, 6.95, repro,
2006-05-28,-0.11, -6.13, 0.34, 1.48, 1.29, 5.63, repro,
2006-05-29,-1.06, -4.91, 1.05, 1.48, 1.3, 5.68, repro,
2006-05-30,-0.98, -5.13, 1.46, 1.45, 1.27, 5.54, repro,
2006-05-31,-1.35, -5.32, -5.88, 1.4, 1.25, 5.35, repro,
2006-06-01,-0.83, -4.88, -2.25, 1.64, 1.43, 6.24, repro,
2006-06-02,-0.20, -6.22, -3.97, 1.65, 1.43, 6.3, repro,
2006-06-03,-1.63, -6.18, -2.40, 1.68, 1.46, 6.44, repro,
2006-06-04,-2.48, -4.50, -4.05, 1.8, 1.56, 6.88, repro,
2006-06-05,-1.89, -5.11, 0.83, 1.65, 1.44, 6.45, repro,
2006-06-06,-0.95, -5.93, -0.20, 1.56, 1.36, 6.01, repro,
2006-06-07,-0.72, -7.19, -6.66, 2.04, 1.72, 7.85, repro,
2006-06-08,-0.38, -6.88, -2.78, 1.85, 1.59, 7.13, repro,
2006-06-09,-1.09, -5.97, -7.61, 1.77, 1.51, 6.78, repro,
2006-06-10,-1.04, -5.27, 3.89, 1.6, 1.42, 6.27, repro,
2006-06-11,-2.97, -4.44, 3.30, 1.55, 1.36, 5.98, repro,
2006-06-12,-5.64, -6.24, -3.86, 1.65, 1.47, 6.52, repro,
2006-06-13,-5.13, -10.04, -25.29, 1.92, 1.64, 7.36, repro,
2006-06-14,-1.46, -3.33, -2.07, 1.6, 1.39, 6.29, repro,
2006-06-15,0.11, -6.48, -3.26, 1.67, 1.45, 6.46, repro,
2006-06-16,-1.53, -5.62, 3.15, 1.7, 1.48, 6.66, repro,
2006-06-17,-1.31, -5.54, 0.27, 1.57, 1.37, 6.1, repro,
2006-06-18,-1.20, -5.67, 0.99, 1.66, 1.45, 6.49, repro,
2006-06-19,-0.02, -6.76, 2.68, 1.76, 1.56, 6.95, repro,
2006-06-20,-1.47, -5.12, 2.04, 1.55, 1.38, 6.02, repro,
2006-06-21,-0.47, -6.14, -1.22, 1.55, 1.38, 6.13, repro,
2006-06-22,-1.69, -6.12, -2.22, 1.68, 1.49, 6.49, repro,
2006-06-23,-0.82, -6.01, -15.16, 1.53, 1.35, 5.91, repro,
