PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P467
Station name, AlabamaHilCS2006
Begin Date, 2006-03-17
End Date, 2018-09-15
Release Date, 2019-04-02
Source file, P467.pbo.igs14.pos
Offset from source file, 38.30 mm North, -41.04 mm East, 7.12 mm Vertical
Reference position, 36.5702022937 North Latitude, -118.0906232195 East Longitude, 1380.13115 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-03-17,0.00, 0.00, 0.00, 1.56, 1.39, 5.98, repro,
2006-03-18,-1.23, -1.65, -4.79, 1.47, 1.33, 5.61, repro,
2006-03-19,-0.75, -1.00, -5.81, 1.39, 1.24, 5.23, repro,
2006-03-20,-1.33, -1.75, -0.55, 1.54, 1.4, 5.89, repro,
2006-03-21,-1.84, -2.81, -5.72, 1.7, 1.54, 6.51, repro,
2006-03-22,-0.51, -2.19, -8.00, 1.38, 1.27, 5.31, repro,
2006-03-23,-0.88, -0.95, -7.40, 1.37, 1.28, 5.18, repro,
2006-03-24,-1.60, -0.68, -1.71, 1.55, 1.43, 5.86, repro,
2006-03-25,-2.99, -2.74, -19.25, 2.5, 2.13, 9.54, repro,
2006-03-26,-1.09, -2.05, -0.81, 1.62, 1.49, 6.16, repro,
2006-03-27,-0.09, -1.29, 0.41, 1.47, 1.36, 5.55, repro,
2006-03-28,-4.73, -4.72, 0.09, 1.68, 1.55, 6.51, repro,
2006-03-29,0.06, -3.32, -9.30, 1.76, 1.59, 6.83, repro,
2006-03-30,-0.28, -3.06, 6.56, 1.33, 1.21, 5.11, repro,
2006-03-31,-1.92, -4.34, -2.86, 1.55, 1.39, 5.93, repro,
2006-04-01,-0.23, -3.40, 1.62, 1.77, 1.57, 6.82, repro,
2006-04-02,-0.75, -2.13, -2.54, 1.43, 1.3, 5.53, repro,
2006-04-03,-4.92, -2.00, 0.25, 1.96, 1.76, 7.59, repro,
2006-04-04,-1.67, -9.27, -37.42, 2.09, 1.88, 8.22, repro,
2006-04-05,-2.50, -6.23, -7.98, 1.87, 1.73, 7.42, repro,
2006-04-06,-1.09, -2.75, -1.05, 1.38, 1.29, 5.4, repro,
2006-04-07,-2.12, -5.75, -7.37, 1.53, 1.44, 6.06, repro,
2006-04-08,-2.27, -4.69, -0.38, 1.83, 1.66, 7.18, repro,
2006-04-09,-5.00, -6.34, -1.31, 1.55, 1.45, 6.2, repro,
2006-04-10,-0.78, -4.03, -2.41, 1.42, 1.32, 5.61, repro,
2006-04-11,-0.65, -6.13, -11.14, 1.56, 1.43, 6.18, repro,
2006-04-12,-4.87, -8.27, -13.27, 1.62, 1.5, 6.5, repro,
2006-04-13,-3.92, -7.42, -17.21, 1.6, 1.49, 6.32, repro,
2006-04-14,-1.32, -7.85, -18.19, 1.56, 1.44, 6.2, repro,
2006-04-15,-0.25, -3.34, -2.28, 1.43, 1.34, 5.64, repro,
