PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P467
Station name, AlabamaHilCS2006
Begin Date, 2006-03-17
End Date, 2018-09-15
Release Date, 2018-11-17
Source file, P467.pbo.nam08.pos
Offset from source file, 31.02 mm North, -29.50 mm East, -2.67 mm Vertical
Reference position, 36.5702022937 North Latitude, -118.0906232195 East Longitude, 1380.13115 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-03-17,0.00, 0.00, 0.00, 1.55, 1.39, 5.96, repro,
2006-03-18,-1.34, -1.52, -4.93, 1.46, 1.32, 5.59, repro,
2006-03-19,-0.70, -0.77, -5.83, 1.38, 1.23, 5.21, repro,
2006-03-20,-1.27, -1.40, -1.00, 1.53, 1.39, 5.87, repro,
2006-03-21,-1.78, -2.53, -5.86, 1.69, 1.54, 6.49, repro,
2006-03-22,-0.38, -1.81, -8.50, 1.37, 1.26, 5.29, repro,
2006-03-23,-0.85, -0.66, -8.21, 1.36, 1.27, 5.16, repro,
2006-03-24,-1.54, -0.27, -1.66, 1.54, 1.42, 5.84, repro,
2006-03-25,-2.92, -2.16, -19.11, 2.5, 2.13, 9.53, repro,
2006-03-26,-1.13, -1.60, -1.07, 1.61, 1.49, 6.14, repro,
2006-03-27,-0.03, -0.79, 0.08, 1.46, 1.36, 5.53, repro,
2006-03-28,-4.41, -4.18, 0.23, 1.67, 1.55, 6.49, repro,
2006-03-29,0.21, -2.64, -8.96, 1.76, 1.59, 6.81, repro,
2006-03-30,-0.17, -2.42, 5.89, 1.32, 1.2, 5.09, repro,
2006-03-31,-1.79, -3.56, -3.00, 1.54, 1.39, 5.91, repro,
2006-04-01,0.08, -2.69, 1.02, 1.77, 1.57, 6.8, repro,
2006-04-02,-0.57, -1.31, -3.37, 1.42, 1.3, 5.51, repro,
2006-04-03,-4.66, -1.09, 0.05, 1.96, 1.76, 7.58, repro,
2006-04-04,-1.21, -8.16, -37.67, 2.09, 1.88, 8.2, repro,
2006-04-05,-2.04, -5.36, -8.22, 1.86, 1.73, 7.4, repro,
2006-04-06,-0.76, -1.84, -2.13, 1.37, 1.28, 5.38, repro,
2006-04-07,-1.76, -4.78, -8.01, 1.53, 1.44, 6.04, repro,
2006-04-08,-1.89, -3.65, -1.29, 1.83, 1.66, 7.17, repro,
2006-04-09,-4.42, -5.12, -1.82, 1.55, 1.45, 6.18, repro,
2006-04-10,-0.25, -2.94, -3.36, 1.41, 1.32, 5.59, repro,
2006-04-11,-0.18, -4.82, -12.10, 1.55, 1.43, 6.16, repro,
2006-04-12,-4.27, -7.17, -14.53, 1.62, 1.5, 6.48, repro,
2006-04-13,-3.26, -6.20, -18.20, 1.6, 1.49, 6.3, repro,
2006-04-14,-0.51, -6.52, -18.60, 1.56, 1.44, 6.18, repro,
2006-04-15,0.34, -1.87, -3.02, 1.42, 1.33, 5.62, repro,
2006-04-16,-2.57, -4.44, -9.99, 2.01, 1.82, 7.96, repro,
2006-04-17,-4.12, -5.37, -6.84, 1.91, 1.73, 7.6, repro,
2006-04-18,-0.25, -2.41, -5.37, 1.28, 1.21, 5.08, repro,
2006-04-19,0.47, -2.80, -10.07, 1.29, 1.22, 5.14, repro,
2006-04-20,-0.04, -2.72, -2.09, 1.29, 1.22, 5.14, repro,
2006-04-21,1.28, -2.29, -8.76, 1.59, 1.46, 6.25, repro,
2006-04-22,-1.77, -1.93, 1.57, 1.71, 1.57, 6.72, repro,
2006-04-23,-0.20, -3.01, -6.65, 1.63, 1.5, 6.38, repro,
2006-04-24,-0.09, -3.55, -5.86, 1.38, 1.3, 5.49, repro,
2006-04-25,0.46, -2.21, -10.93, 1.54, 1.41, 6.08, repro,
2006-04-26,1.55, -3.05, -1.69, 1.65, 1.51, 6.5, repro,
2006-04-27,1.93, -2.04, -10.35, 1.63, 1.47, 6.31, repro,
2006-04-28,2.93, -3.66, -12.25, 1.76, 1.57, 6.81, repro,
2006-04-29,-0.92, -3.80, -10.74, 1.63, 1.47, 6.39, repro,
2006-04-30,0.85, -3.29, -1.64, 1.87, 1.67, 7.43, repro,
2006-05-01,1.80, -1.80, -10.51, 1.71, 1.53, 6.74, repro,
2006-05-02,0.12, -3.01, -0.25, 1.48, 1.34, 5.81, repro,
2006-05-03,-1.60, -2.79, 0.35, 1.6, 1.44, 6.27, repro,
2006-05-04,1.05, -2.03, -7.42, 1.53, 1.38, 6.02, repro,
2006-05-05,1.37, -3.10, -14.44, 1.48, 1.35, 5.82, repro,
2006-05-06,1.47, -3.14, -7.59, 1.63, 1.46, 6.41, repro,
2006-05-07,0.31, -3.26, -3.96, 1.37, 1.24, 5.43, repro,
2006-05-08,0.36, -3.30, -4.29, 1.46, 1.31, 5.67, repro,
2006-05-09,0.35, -2.97, -3.97, 1.53, 1.37, 5.99, repro,
2006-05-10,0.28, -3.37, -8.63, 1.35, 1.23, 5.28, repro,
2006-05-11,-0.96, -1.77, -2.25, 1.55, 1.4, 6.08, repro,
2006-05-12,0.14, -3.22, -7.84, 1.4, 1.28, 5.42, repro,
2006-05-13,0.70, -2.04, -3.74, 1.53, 1.37, 5.96, repro,
2006-05-14,0.55, -3.67, -15.85, 1.56, 1.4, 6.04, repro,
2006-05-15,-0.09, -2.74, -5.99, 1.48, 1.32, 5.75, repro,
2006-05-16,-0.17, -2.98, -4.42, 1.36, 1.24, 5.38, repro,
2006-05-17,0.72, -3.26, -4.79, 1.47, 1.32, 5.71, repro,
2006-05-18,1.58, -3.16, -1.78, 1.7, 1.5, 6.56, repro,
2006-05-19,-0.54, -2.47, -2.24, 1.81, 1.56, 6.84, repro,
2006-05-20,-5.43, -2.58, -6.70, 2.35, 2.06, 9.04, repro,
2006-05-21,-7.21, -10.29, -8.59, 2.03, 1.75, 7.73, repro,
2006-05-22,0.16, -3.82, -2.79, 1.72, 1.49, 6.62, repro,
2006-05-23,0.25, -4.46, -4.88, 1.49, 1.3, 5.61, repro,
2006-05-24,1.12, -3.03, -1.85, 1.59, 1.38, 6.02, repro,
2006-05-25,0.28, -2.73, -0.43, 1.7, 1.48, 6.54, repro,
2006-05-26,0.59, -2.59, -1.59, 1.63, 1.41, 6.27, repro,
2006-05-27,-1.52, -2.62, 0.57, 1.82, 1.56, 6.94, repro,
2006-05-28,1.96, -3.41, 0.56, 1.48, 1.29, 5.62, repro,
2006-05-29,1.00, -2.14, 1.29, 1.48, 1.3, 5.67, repro,
2006-05-30,1.07, -2.33, 1.34, 1.45, 1.27, 5.53, repro,
2006-05-31,0.71, -2.54, -6.09, 1.4, 1.25, 5.34, repro,
2006-06-01,1.23, -1.95, -2.16, 1.64, 1.43, 6.23, repro,
2006-06-02,1.99, -3.32, -3.73, 1.65, 1.43, 6.29, repro,
2006-06-03,0.58, -3.24, -2.16, 1.68, 1.46, 6.43, repro,
2006-06-04,-0.21, -1.54, -3.82, 1.8, 1.56, 6.87, repro,
2006-06-05,0.38, -2.09, 1.13, 1.65, 1.44, 6.44, repro,
2006-06-06,1.33, -2.85, 0.09, 1.56, 1.36, 6, repro,
2006-06-07,1.56, -4.07, -6.54, 2.04, 1.72, 7.85, repro,
2006-06-08,2.00, -3.76, -2.77, 1.85, 1.59, 7.12, repro,
2006-06-09,1.25, -2.72, -7.47, 1.77, 1.51, 6.77, repro,
2006-06-10,1.35, -2.06, 4.05, 1.6, 1.42, 6.26, repro,
2006-06-11,-0.52, -1.20, 3.60, 1.55, 1.36, 5.97, repro,
2006-06-12,-3.19, -3.02, -3.57, 1.65, 1.47, 6.51, repro,
2006-06-13,-2.70, -6.71, -25.12, 1.92, 1.64, 7.36, repro,
2006-06-14,1.09, 0.09, -1.52, 1.6, 1.39, 6.28, repro,
2006-06-15,2.70, -3.12, -2.76, 1.67, 1.45, 6.45, repro,
2006-06-16,1.07, -2.21, 3.53, 1.7, 1.48, 6.65, repro,
2006-06-17,1.34, -2.06, 0.77, 1.57, 1.37, 6.09, repro,
2006-06-18,1.44, -2.17, 1.17, 1.66, 1.45, 6.48, repro,
2006-06-19,2.68, -3.22, 2.88, 1.76, 1.56, 6.94, repro,
2006-06-20,1.28, -1.59, 2.47, 1.55, 1.38, 6.01, repro,
2006-06-21,2.30, -2.55, -0.94, 1.55, 1.38, 6.12, repro,
2006-06-22,1.11, -2.55, -2.13, 1.68, 1.49, 6.49, repro,
2006-06-23,1.88, -2.34, -15.58, 1.53, 1.35, 5.9, repro,
2006-06-24,1.68, -2.31, -6.63, 1.42, 1.27, 5.56, repro,
2006-06-25,1.10, -1.32, -4.78, 1.47, 1.3, 5.67, repro,
2006-06-26,1.12, -1.87, -6.97, 1.52, 1.36, 5.95, repro,
2006-06-27,0.42, -3.72, -8.22, 1.85, 1.65, 7.22, repro,
2006-06-28,1.67, -1.00, -8.29, 1.98, 1.73, 7.71, repro,
2006-06-29,2.18, -3.18, -7.36, 1.96, 1.72, 7.66, repro,
2006-06-30,0.54, -1.79, -1.20, 1.9, 1.65, 7.48, repro,
2006-07-01,0.57, -0.57, 3.19, 1.92, 1.67, 7.53, repro,
2006-07-02,1.67, -1.17, -8.21, 2.06, 1.78, 8.1, repro,
2006-07-03,1.91, -1.87, -15.38, 1.91, 1.67, 7.45, repro,
2006-07-04,1.69, -1.30, -0.24, 1.68, 1.47, 6.55, repro,
2006-07-05,0.56, -2.87, -8.43, 1.72, 1.49, 6.74, repro,
2006-07-06,2.02, -2.72, -13.51, 2.3, 1.98, 9.19, repro,
2006-07-07,1.68, -2.53, -12.82, 1.91, 1.65, 7.5, repro,
2006-07-08,1.60, -2.78, -15.37, 1.84, 1.65, 7.23, repro,
2006-07-09,2.32, -1.11, -13.07, 1.94, 1.67, 7.58, repro,
2006-07-10,1.91, -3.49, -1.28, 1.78, 1.55, 6.97, repro,
2006-07-11,1.93, -2.01, -4.24, 1.97, 1.7, 7.74, repro,
2006-07-12,1.05, -1.79, -10.88, 1.81, 1.57, 7.11, repro,
2006-07-13,2.03, -2.19, -1.85, 1.41, 1.25, 5.54, repro,
2006-07-14,1.90, -2.27, -2.70, 1.48, 1.32, 5.87, repro,
2006-07-15,2.08, -1.94, -2.06, 1.59, 1.4, 6.27, repro,
2006-07-16,1.75, -1.65, -5.50, 1.51, 1.34, 6, repro,
2006-07-17,1.40, -1.35, -3.99, 1.51, 1.34, 5.98, repro,
2006-07-18,0.67, -1.87, 3.11, 1.68, 1.49, 6.57, repro,
