PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS08
4-character ID, P571
Station name, SpringvillCS2005
Begin Date, 2005-07-21
End Date, 2018-10-02
Release Date, 2018-11-11
Source file, P571.nmt.igs08.pos
Offset from source file, 0.41 mm North, -100.64 mm East, 24.63 mm Vertical
Reference position, 36.2313660679 North Latitude, -118.7667153797 East Longitude, 914.20031 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-07-21,0.00, 0.00, 0.00, 5.71, 4.79, 22.72, repro,
2005-07-22,-1.39, -2.08, 18.85, 2.05, 1.89, 8.06, repro,
2005-07-23,-0.32, 0.07, 24.58, 2.23, 2.03, 8.72, repro,
2005-07-24,-0.39, 1.36, 24.75, 2.26, 2.1, 8.83, repro,
2005-07-25,0.52, -0.61, 31.97, 2.55, 2.36, 9.86, repro,
2005-07-26,-1.21, -1.29, 24.84, 2.86, 2.68, 11.03, repro,
2005-07-27,-0.22, -0.69, 24.18, 1.73, 1.59, 6.94, repro,
2005-07-28,0.18, 0.05, 27.06, 1.84, 1.72, 7.33, repro,
2005-07-29,-2.76, -2.02, 24.42, 2.07, 1.94, 8.36, repro,
2005-07-30,0.60, -1.97, 18.72, 1.78, 1.66, 7.25, repro,
2005-07-31,-0.83, 0.15, 4.30, 2.62, 2.44, 10.34, repro,
2005-08-01,-1.45, -0.41, 21.45, 2.19, 2.03, 8.77, repro,
2005-08-02,-0.32, -0.46, 20.64, 1.84, 1.7, 7.64, repro,
2005-08-03,0.13, -1.21, 19.55, 1.87, 1.72, 7.62, repro,
2005-08-04,-0.18, -1.34, 13.54, 1.85, 1.68, 7.45, repro,
2005-08-05,-1.00, -2.40, 22.90, 1.88, 1.72, 7.49, repro,
2005-08-06,-1.39, -0.50, 19.52, 2.38, 2.44, 9.82, repro,
2005-11-29,-0.87, -8.65, 15.57, 2.57, 2.23, 9.79, repro,
2005-11-30,-3.96, -9.45, 18.22, 2.01, 1.78, 6.99, repro,
2005-12-01,-1.02, -10.51, 23.94, 2.05, 1.77, 7.57, repro,
2005-12-02,-3.60, -9.23, -1.40, 4.85, 6.24, 32.15, repro,
2005-12-03,-1.50, -10.32, 13.39, 1.34, 1.18, 4.55, repro,
2005-12-04,-0.58, -8.92, 8.81, 1.33, 1.18, 4.6, repro,
2005-12-05,-1.23, -9.13, 8.75, 1.24, 1.16, 4.37, repro,
2005-12-06,-0.39, -8.29, 9.26, 1.21, 1.07, 4.86, repro,
2005-12-07,-0.85, -9.53, 10.47, 1.48, 1.36, 4.7, repro,
2005-12-08,-0.37, -10.07, 16.30, 1.43, 1.27, 5.68, repro,
2005-12-09,-0.49, -9.06, 15.53, 1.16, 1.03, 4.75, repro,
2005-12-10,1.27, -8.59, 14.66, 0.9, 0.8, 3.98, repro,
