PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P571
Station name, SpringvillCS2005
Begin Date, 2005-07-21
End Date, 2018-09-15
Release Date, 2018-11-17
Source file, P571.nmt.nam08.pos
Offset from source file, 48.22 mm North, -44.99 mm East, 23.47 mm Vertical
Reference position, 36.2313660679 North Latitude, -118.7667153797 East Longitude, 914.20031 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-07-21,0.00, 0.00, 0.00, 5.71, 4.79, 22.72, repro,
2005-07-22,-1.36, -2.07, 18.26, 2.05, 1.89, 8.05, repro,
2005-07-23,-0.30, 0.25, 24.49, 2.23, 2.03, 8.71, repro,
2005-07-24,-0.22, 1.44, 25.10, 2.26, 2.1, 8.82, repro,
2005-07-25,0.52, -0.47, 31.73, 2.55, 2.36, 9.85, repro,
2005-07-26,-1.17, -1.01, 24.64, 2.86, 2.68, 11.02, repro,
2005-07-27,-0.05, -0.50, 24.06, 1.73, 1.59, 6.93, repro,
2005-07-28,0.36, 0.25, 26.88, 1.84, 1.72, 7.32, repro,
2005-07-29,-2.58, -1.71, 24.24, 2.07, 1.94, 8.35, repro,
2005-07-30,0.92, -1.74, 18.37, 1.78, 1.66, 7.24, repro,
2005-07-31,-0.60, 0.49, 3.91, 2.62, 2.44, 10.33, repro,
2005-08-01,-1.05, -0.02, 21.61, 2.19, 2.03, 8.76, repro,
2005-08-02,-0.03, -0.06, 20.31, 1.84, 1.7, 7.63, repro,
2005-08-03,0.46, -0.70, 19.38, 1.87, 1.72, 7.61, repro,
2005-08-04,0.22, -0.86, 13.32, 1.85, 1.68, 7.44, repro,
2005-08-05,-0.63, -1.80, 22.71, 1.88, 1.72, 7.48, repro,
2005-08-06,-1.06, 0.14, 19.62, 2.38, 2.44, 9.81, repro,
2005-11-29,2.91, -3.98, 15.58, 2.57, 2.23, 9.78, repro,
2005-11-30,-0.21, -4.91, 17.67, 2.01, 1.78, 6.98, repro,
2005-12-01,2.84, -6.00, 23.56, 2.05, 1.77, 7.56, repro,
2005-12-02,0.28, -4.54, -1.71, 4.85, 6.24, 32.15, repro,
2005-12-03,2.46, -5.66, 13.50, 1.34, 1.18, 4.54, repro,
2005-12-04,3.29, -4.22, 8.36, 1.33, 1.18, 4.59, repro,
2005-12-05,2.64, -4.42, 7.64, 1.24, 1.16, 4.36, repro,
2005-12-06,3.55, -3.53, 8.79, 1.21, 1.07, 4.85, repro,
2005-12-07,3.14, -4.79, 9.79, 1.48, 1.36, 4.68, repro,
2005-12-08,3.67, -5.31, 15.55, 1.43, 1.27, 5.67, repro,
2005-12-09,3.54, -4.24, 15.10, 1.16, 1.03, 4.74, repro,
2005-12-10,5.50, -3.75, 14.89, 0.9, 0.8, 3.97, repro,
