PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P571
Station name, SpringvillCS2005
Begin Date, 2005-07-21
End Date, 2018-09-15
Release Date, 2019-04-02
Source file, P571.pbo.igs14.pos
Offset from source file, 48.27 mm North, -65.34 mm East, 35.54 mm Vertical
Reference position, 36.2313660656 North Latitude, -118.7667153831 East Longitude, 914.20200 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-07-21,0.00, 0.00, 0.00, 7.99, 6.69, 31.56, repro,
2005-07-22,-0.99, -1.85, 21.13, 1.9, 1.63, 7, repro,
2005-07-23,0.05, -0.55, 18.39, 2.04, 1.73, 7.55, repro,
2005-07-24,-0.92, 0.89, 23.79, 2.07, 1.8, 7.74, repro,
2005-07-25,0.83, -0.67, 27.86, 2.2, 1.87, 8.13, repro,
2005-07-26,-0.17, -1.36, 19.34, 2.34, 2.01, 8.67, repro,
2005-07-27,-0.11, -1.02, 25.50, 1.76, 1.56, 6.55, repro,
2005-07-28,0.22, -0.65, 23.49, 1.8, 1.6, 6.73, repro,
2005-07-29,-2.01, -1.83, 23.09, 1.92, 1.67, 7.17, repro,
2005-07-30,0.55, -2.32, 17.61, 1.74, 1.53, 6.56, repro,
2005-07-31,-0.65, -0.66, 3.09, 2.26, 1.94, 8.46, repro,
2005-08-01,-1.89, -1.61, 18.63, 1.99, 1.73, 7.46, repro,
2005-08-02,-0.51, -1.37, 18.64, 1.75, 1.54, 6.6, repro,
2005-08-03,-0.15, -1.46, 22.83, 1.83, 1.59, 6.82, repro,
2005-08-04,-0.53, -0.61, 17.55, 1.81, 1.56, 6.74, repro,
2005-08-05,-1.15, -2.15, 20.87, 1.87, 1.6, 6.93, repro,
2005-08-06,-0.79, -0.18, 22.70, 2.48, 2.37, 9.85, repro,
2005-11-29,-0.31, -9.77, 14.06, 3.01, 2.59, 11.17, repro,
2005-11-30,-3.44, -9.98, 18.94, 2.26, 1.92, 8.28, repro,
2005-12-01,-1.25, -10.80, 22.39, 2.35, 1.99, 8.78, repro,
2005-12-02,-3.42, -9.72, -0.67, 6.78, 8.81, 43.43, repro,
2005-12-03,-0.80, -10.55, 17.89, 1.35, 1.17, 4.72, repro,
2005-12-04,0.08, -9.00, 11.51, 1.38, 1.19, 4.89, repro,
2005-12-05,-0.73, -9.44, 11.95, 1.3, 1.13, 4.6, repro,
2005-12-06,0.06, -8.74, 8.80, 1.38, 1.19, 4.99, repro,
2005-12-07,-0.53, -9.74, 11.50, 1.44, 1.26, 5.01, repro,
2005-12-08,-0.21, -10.45, 16.14, 1.59, 1.37, 5.82, repro,
2005-12-09,-0.45, -10.06, 17.22, 1.25, 1.08, 4.58, repro,
2005-12-10,1.44, -9.08, 16.96, 1.09, 0.95, 4, repro,
2005-12-11,0.42, -9.95, 15.02, 1.37, 1.19, 5.04, repro,
2005-12-12,-1.06, -10.21, 20.22, 1.26, 1.09, 4.59, repro,
2005-12-13,-0.87, -10.30, 19.99, 1.26, 1.09, 4.62, repro,
2005-12-14,-0.65, -10.90, 19.07, 1.31, 1.13, 4.56, repro,
2005-12-15,-1.26, -10.86, 14.33, 1.41, 1.21, 5.15, repro,
2005-12-16,-0.66, -9.85, 14.72, 1, 0.88, 3.67, repro,
2005-12-17,-1.27, -11.76, 18.78, 1.4, 1.19, 4.78, repro,
2005-12-18,-1.16, -11.35, 25.46, 1.57, 1.35, 5.57, repro,
2005-12-19,-0.55, -11.04, 16.26, 1.54, 1.35, 5.47, repro,
2005-12-20,-0.15, -11.44, 14.80, 1.35, 1.19, 4.73, repro,
2005-12-21,0.20, -10.88, 16.13, 1.41, 1.25, 4.94, repro,
2005-12-22,-0.34, -11.74, 22.05, 1.19, 1.08, 4.41, repro,
2005-12-23,-0.07, -10.88, 17.34, 1.13, 1.01, 4.1, repro,
2005-12-24,0.31, -10.96, 17.67, 1.39, 1.2, 5.07, repro,
2005-12-25,-0.39, -10.73, 22.05, 1.25, 1.1, 4.64, repro,
2005-12-26,-1.22, -11.93, 24.39, 1.88, 1.59, 6.73, repro,
2005-12-27,-1.08, -11.41, 20.77, 1.43, 1.23, 5.16, repro,
2005-12-28,-1.00, -11.76, 19.32, 1.61, 1.39, 5.76, repro,
2005-12-29,-1.41, -11.36, 23.21, 1.52, 1.31, 5.46, repro,
2005-12-30,-1.76, -11.12, 24.77, 1.47, 1.26, 5.31, repro,
2005-12-31,-0.43, -11.29, 29.56, 1.64, 1.42, 5.96, repro,
2006-01-01,0.11, -13.35, 23.33, 1.64, 1.41, 5.76, repro,
2006-01-02,-1.62, -12.27, 21.33, 1.79, 1.52, 6.35, repro,
2006-01-03,-0.80, -12.06, 18.57, 1.56, 1.33, 5.56, repro,
2006-01-04,-0.07, -11.90, 16.41, 1.35, 1.16, 4.89, repro,
2006-01-05,0.54, -11.50, 12.28, 0.9, 0.78, 3.27, repro,
2006-01-06,0.22, -11.74, 16.90, 1.28, 1.11, 4.69, repro,
2006-01-07,0.55, -12.64, 21.97, 1.46, 1.24, 5.27, repro,
2006-01-08,1.20, -12.62, 20.19, 1.32, 1.14, 4.78, repro,
2006-01-09,0.74, -11.96, 14.88, 1.25, 1.08, 4.56, repro,
2006-01-10,1.21, -12.30, 16.34, 1.35, 1.17, 4.96, repro,
2006-01-11,0.59, -11.38, 22.96, 1.44, 1.26, 5.31, repro,
2006-01-12,0.40, -12.79, 19.43, 1.3, 1.14, 4.77, repro,
2006-01-13,0.89, -12.11, 22.62, 1.29, 1.12, 4.7, repro,
2006-01-14,-1.09, -13.12, 18.97, 1.57, 1.36, 5.71, repro,
2006-01-15,-0.69, -12.36, 22.83, 1.52, 1.32, 5.5, repro,
2006-01-16,0.46, -12.15, 12.95, 1.32, 1.15, 4.72, repro,
2006-01-17,0.35, -12.61, 10.62, 1.37, 1.23, 5.03, repro,
2006-01-18,1.10, -12.78, 19.92, 1.54, 1.33, 5.57, repro,
2006-01-19,0.55, -13.66, 20.24, 1.45, 1.26, 5.26, repro,
2006-01-20,0.43, -13.15, 14.16, 1.34, 1.16, 4.89, repro,
2006-01-21,0.44, -12.11, 10.07, 1.32, 1.15, 4.81, repro,
2006-01-22,0.18, -13.20, 16.13, 1.28, 1.11, 4.61, repro,
2006-01-23,1.05, -13.52, 14.21, 1.35, 1.18, 4.83, repro,
2006-01-24,0.31, -13.17, 14.42, 1.41, 1.24, 5.09, repro,
2006-01-25,0.33, -13.93, 17.04, 1.67, 1.53, 6.9, repro,
2006-01-26,0.23, -13.90, 10.86, 1.21, 1.07, 4.42, repro,
2006-01-27,0.53, -13.91, 15.39, 1.19, 1.06, 4.36, repro,
2006-01-28,0.36, -13.86, 19.36, 1.22, 1.07, 4.42, repro,
2006-01-29,0.69, -13.72, 13.74, 1.36, 1.2, 4.98, repro,
2006-01-30,0.61, -13.22, 10.60, 1.28, 1.12, 4.72, repro,
2006-01-31,0.17, -14.26, 18.72, 1.56, 1.34, 5.71, repro,
2006-02-01,0.76, -15.52, 23.60, 1.42, 1.24, 5.27, repro,
2006-02-02,1.66, -15.03, 19.26, 1.48, 1.28, 5.47, repro,
2006-02-03,1.03, -14.33, 20.33, 1.29, 1.13, 4.81, repro,
2006-02-04,0.65, -13.39, 9.77, 1.34, 1.16, 4.91, repro,
2006-02-05,1.13, -14.31, 14.90, 1.27, 1.1, 4.69, repro,
2006-02-06,0.55, -13.53, 14.32, 1.18, 1.03, 4.37, repro,
2006-02-07,0.42, -13.84, 10.04, 1.26, 1.1, 4.66, repro,
2006-02-08,1.02, -13.83, 9.54, 1.27, 1.1, 4.73, repro,
2006-02-09,1.19, -13.84, 8.52, 1.31, 1.11, 4.86, repro,
2006-02-10,0.58, -14.39, 12.06, 1.28, 1.1, 4.82, repro,
2006-02-11,1.30, -13.86, 2.92, 1.64, 1.39, 6.1, repro,
