PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P571
Station name, SpringvillCS2005
Begin Date, 2005-07-21
End Date, 2018-09-15
Release Date, 2018-11-17
Source file, P571.pbo.nam08.pos
Offset from source file, 47.95 mm North, -45.44 mm East, 25.76 mm Vertical
Reference position, 36.2313660656 North Latitude, -118.7667153831 East Longitude, 914.20200 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-07-21,0.00, 0.00, 0.00, 7.99, 6.69, 31.56, repro,
2005-07-22,-0.93, -1.82, 20.69, 1.89, 1.62, 6.98, repro,
2005-07-23,0.21, -0.43, 18.73, 2.03, 1.72, 7.52, repro,
2005-07-24,-0.57, 0.84, 23.52, 2.06, 1.79, 7.72, repro,
2005-07-25,0.99, -0.46, 28.05, 2.19, 1.86, 8.11, repro,
2005-07-26,-0.05, -1.22, 18.96, 2.33, 2, 8.65, repro,
2005-07-27,0.10, -0.78, 25.58, 1.75, 1.55, 6.52, repro,
2005-07-28,0.47, -0.32, 23.53, 1.79, 1.59, 6.71, repro,
2005-07-29,-1.63, -1.36, 23.73, 1.91, 1.66, 7.14, repro,
2005-07-30,0.99, -2.04, 17.85, 1.73, 1.52, 6.53, repro,
2005-07-31,-0.28, -0.29, 3.70, 2.25, 1.93, 8.43, repro,
2005-08-01,-1.41, -1.18, 18.84, 1.98, 1.72, 7.43, repro,
2005-08-02,-0.03, -0.82, 18.83, 1.74, 1.53, 6.57, repro,
2005-08-03,0.33, -0.90, 23.44, 1.82, 1.58, 6.79, repro,
2005-08-04,-0.06, -0.12, 17.77, 1.8, 1.55, 6.72, repro,
2005-08-05,-0.70, -1.47, 21.25, 1.86, 1.59, 6.9, repro,
2005-08-06,-0.39, 0.62, 23.33, 2.47, 2.36, 9.83, repro,
2005-11-29,3.36, -4.93, 13.96, 3.01, 2.59, 11.16, repro,
2005-11-30,0.36, -5.19, 18.54, 2.26, 1.92, 8.26, repro,
2005-12-01,2.59, -5.89, 22.26, 2.35, 1.99, 8.76, repro,
2005-12-02,0.46, -4.76, -0.23, 6.78, 8.81, 43.43, repro,
2005-12-03,3.16, -5.52, 17.82, 1.34, 1.16, 4.69, repro,
2005-12-04,3.92, -4.09, 10.67, 1.37, 1.18, 4.86, repro,
2005-12-05,3.21, -4.56, 11.16, 1.29, 1.12, 4.57, repro,
2005-12-06,4.19, -3.83, 8.16, 1.37, 1.18, 4.96, repro,
2005-12-07,3.67, -4.73, 11.19, 1.43, 1.25, 4.98, repro,
2005-12-08,4.10, -5.36, 16.22, 1.58, 1.36, 5.79, repro,
2005-12-09,3.75, -5.06, 16.17, 1.24, 1.07, 4.55, repro,
2005-12-10,5.69, -4.07, 15.94, 1.08, 0.94, 3.96, repro,
2005-12-11,4.64, -4.77, 14.54, 1.36, 1.18, 5.02, repro,
2005-12-12,3.13, -4.96, 19.71, 1.25, 1.08, 4.56, repro,
2005-12-13,3.39, -5.06, 19.68, 1.25, 1.08, 4.59, repro,
2005-12-14,3.54, -5.67, 18.17, 1.3, 1.12, 4.53, repro,
2005-12-15,3.04, -5.55, 13.62, 1.4, 1.2, 5.13, repro,
2005-12-16,3.77, -4.46, 14.42, 0.99, 0.87, 3.64, repro,
2005-12-17,3.16, -6.46, 17.60, 1.39, 1.18, 4.75, repro,
2005-12-18,3.23, -5.97, 25.02, 1.56, 1.34, 5.54, repro,
2005-12-19,3.72, -5.54, 15.96, 1.53, 1.34, 5.44, repro,
2005-12-20,4.20, -5.95, 14.51, 1.34, 1.18, 4.7, repro,
2005-12-21,4.69, -5.34, 15.75, 1.4, 1.24, 4.91, repro,
2005-12-22,4.17, -6.08, 22.18, 1.18, 1.07, 4.38, repro,
2005-12-23,4.38, -5.34, 16.81, 1.12, 1, 4.07, repro,
