PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS08
4-character ID, P572
Station name, ShadequartCS2006
Begin Date, 2006-07-20
End Date, 2019-08-21
Release Date, 2019-08-22
Source file, P572.cwu.igs08.pos
Offset from source file, 2.22 mm North, -81.17 mm East, 3.28 mm Vertical
Reference position, 36.5855163083 North Latitude, -118.9545958993 East Longitude, 1167.32690 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-07-20,0.00, 0.00, 0.00, 1.98, 1.65, 7.52, repro,
2006-07-21,0.44, -0.08, 2.00, 1.96, 1.6, 7.36, repro,
2006-07-22,-1.15, -0.75, 2.41, 1.96, 1.64, 7.54, repro,
2006-07-23,0.07, -0.62, 0.83, 1.98, 1.63, 7.55, repro,
2006-07-24,0.49, -1.33, -12.65, 2, 1.64, 7.43, repro,
2006-07-25,-0.50, -2.07, 3.70, 2.01, 1.7, 7.8, repro,
2006-07-26,0.29, 0.26, 2.13, 1.96, 1.61, 7.34, repro,
2006-07-27,1.82, -1.14, 2.47, 1.95, 1.6, 7.33, repro,
2006-07-28,0.94, -3.09, 0.11, 1.99, 1.65, 7.43, repro,
2006-07-29,0.34, -2.24, -2.42, 2.02, 1.67, 7.5, repro,
2006-07-30,1.18, -2.08, 0.08, 1.99, 1.65, 7.47, repro,
2006-07-31,1.77, -3.13, 2.43, 1.97, 1.65, 7.54, repro,
2006-08-01,0.97, -2.49, 3.24, 2.02, 1.71, 7.79, repro,
2006-08-02,1.70, -1.17, 2.51, 2.03, 1.71, 7.83, repro,
2006-08-03,1.20, -1.66, 0.59, 1.98, 1.64, 7.53, repro,
2006-08-04,-0.77, -1.71, -1.70, 2.14, 1.68, 7.94, repro,
2006-08-05,-0.08, -2.87, -1.45, 2.06, 1.66, 7.75, repro,
2006-08-06,1.78, -1.98, -1.82, 2.06, 1.67, 7.81, repro,
2006-08-07,3.52, -1.52, -0.03, 2.12, 1.74, 8.08, repro,
2006-08-08,0.67, -2.22, -0.50, 2.02, 1.61, 7.44, repro,
2006-08-09,2.07, -2.07, 0.16, 2.13, 1.72, 7.98, repro,
2006-08-10,1.32, -2.52, -1.89, 2.02, 1.62, 7.5, repro,
2006-08-11,2.08, -1.01, -0.77, 2.07, 1.68, 7.68, repro,
2006-08-12,1.13, -1.95, 1.80, 2.09, 1.67, 7.7, repro,
2006-08-13,1.29, -1.97, 10.54, 2.08, 1.66, 7.68, repro,
2006-08-14,1.46, -3.56, 9.29, 2.09, 1.66, 7.65, repro,
2006-08-15,-0.40, -3.64, 3.42, 2.14, 1.71, 7.86, repro,
2006-08-16,-0.63, -2.36, 1.19, 2.07, 1.65, 7.59, repro,
2006-08-17,1.54, -3.32, 3.62, 2.07, 1.66, 7.65, repro,
2006-08-18,1.85, -2.39, 1.06, 2.11, 1.71, 7.81, repro,
2006-08-19,1.34, -2.25, 0.01, 2.11, 1.7, 7.75, repro,
2006-08-20,1.38, -3.40, 1.92, 2.07, 1.66, 7.62, repro,
2006-08-21,3.03, -3.14, -5.83, 2.08, 1.68, 7.64, repro,
2006-08-22,2.66, -3.52, 1.98, 2.08, 1.68, 7.68, repro,
2006-08-23,0.97, -3.19, -0.89, 2.03, 1.66, 7.59, repro,
2006-08-24,-0.56, -3.03, 3.98, 1.97, 1.64, 7.4, repro,
2006-08-25,-0.35, -3.22, 2.15, 2.01, 1.67, 7.62, repro,
