PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P572
Station name, ShadequartCS2006
Begin Date, 2006-07-20
End Date, 2019-08-21
Release Date, 2019-08-22
Source file, P572.cwu.nam08.pos
Offset from source file, 39.55 mm North, -38.32 mm East, 1.77 mm Vertical
Reference position, 36.5855163083 North Latitude, -118.9545958993 East Longitude, 1167.32690 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-07-20,0.00, 0.00, 0.00, 1.98, 1.65, 7.51, repro,
2006-07-21,0.36, 0.06, 2.40, 1.96, 1.6, 7.35, repro,
2006-07-22,-1.13, -0.44, 3.07, 1.96, 1.64, 7.53, repro,
2006-07-23,0.19, -0.39, 1.67, 1.98, 1.63, 7.54, repro,
2006-07-24,0.59, -1.15, -12.12, 2, 1.64, 7.42, repro,
2006-07-25,-0.50, -1.79, 3.72, 2.01, 1.7, 7.79, repro,
2006-07-26,0.41, 0.61, 3.30, 1.96, 1.61, 7.33, repro,
2006-07-27,2.03, -0.81, 2.91, 1.95, 1.6, 7.32, repro,
2006-07-28,1.17, -2.68, 0.78, 1.99, 1.65, 7.42, repro,
2006-07-29,0.58, -1.95, -2.53, 2.02, 1.67, 7.49, repro,
2006-07-30,1.31, -1.54, 1.05, 1.99, 1.65, 7.46, repro,
2006-07-31,2.07, -2.76, 2.81, 1.97, 1.65, 7.53, repro,
2006-08-01,1.21, -2.08, 3.22, 2.02, 1.71, 7.78, repro,
2006-08-02,2.00, -0.57, 2.84, 2.03, 1.71, 7.82, repro,
2006-08-03,1.54, -1.06, 0.78, 1.98, 1.64, 7.52, repro,
2006-08-04,-0.39, -1.16, -1.57, 2.14, 1.68, 7.93, repro,
2006-08-05,0.38, -2.29, -1.07, 2.06, 1.66, 7.74, repro,
2006-08-06,2.23, -1.41, -1.73, 2.06, 1.67, 7.8, repro,
2006-08-07,4.12, -0.81, 1.34, 2.12, 1.74, 8.07, repro,
2006-08-08,1.17, -1.54, -0.79, 2.02, 1.61, 7.43, repro,
2006-08-09,2.73, -1.29, 1.02, 2.13, 1.72, 7.97, repro,
2006-08-10,1.95, -1.62, -1.47, 2.02, 1.62, 7.49, repro,
2006-08-11,2.75, -0.32, -1.10, 2.07, 1.68, 7.67, repro,
2006-08-12,1.78, -1.02, 1.83, 2.09, 1.67, 7.69, repro,
2006-08-13,2.05, -0.95, 11.54, 2.08, 1.66, 7.67, repro,
2006-08-14,2.28, -2.69, 9.08, 2.09, 1.66, 7.64, repro,
2006-08-15,0.67, -2.71, 3.95, 2.14, 1.71, 7.85, repro,
2006-08-16,0.16, -1.35, 1.48, 2.07, 1.65, 7.58, repro,
2006-08-17,2.36, -2.31, 3.42, 2.07, 1.66, 7.64, repro,
2006-08-18,2.74, -1.29, 1.35, 2.11, 1.71, 7.8, repro,
2006-08-19,2.12, -1.23, 0.13, 2.11, 1.7, 7.74, repro,
2006-08-20,2.26, -2.32, 1.29, 2.07, 1.66, 7.61, repro,
2006-08-21,3.92, -2.07, -6.17, 2.08, 1.68, 7.63, repro,
2006-08-22,3.56, -2.39, 2.33, 2.08, 1.68, 7.67, repro,
2006-08-23,1.94, -1.79, -0.20, 2.03, 1.66, 7.58, repro,
2006-08-24,0.52, -1.97, 3.51, 1.97, 1.64, 7.39, repro,
2006-08-25,0.84, -2.06, 2.04, 2.01, 1.67, 7.61, repro,
2006-08-26,0.95, -2.13, 1.29, 2.07, 1.81, 8.02, repro,
2006-08-27,2.33, -1.95, -1.85, 2.02, 1.71, 7.74, repro,
2006-08-28,2.33, -2.21, -1.24, 2.03, 1.72, 7.79, repro,
2006-08-29,1.71, -2.56, 7.96, 2.03, 1.72, 7.77, repro,
2006-08-30,0.94, -1.13, -2.84, 2.11, 1.75, 8.02, repro,
2006-08-31,2.39, -1.97, -1.35, 2.03, 1.73, 7.83, repro,
2006-09-01,0.08, -2.34, -5.47, 2.01, 1.71, 7.7, repro,
2006-09-02,2.31, -2.22, -4.25, 2.02, 1.72, 7.77, repro,
2006-09-03,1.87, -2.77, -3.96, 2.03, 1.72, 7.81, repro,
2006-09-04,1.08, -1.95, -4.57, 2.1, 1.77, 8, repro,
2006-09-05,1.43, -1.70, -8.13, 2.1, 1.76, 7.99, repro,
2006-09-06,1.84, -2.63, -0.04, 2.02, 1.72, 7.73, repro,
2006-09-07,1.47, -2.28, 5.46, 2.07, 1.76, 7.96, repro,
2006-09-08,3.00, -2.84, 4.28, 2.07, 1.77, 7.99, repro,
2006-09-09,2.05, -2.42, 1.48, 2.01, 1.69, 7.63, repro,
2006-09-10,1.71, -2.39, 2.19, 2.01, 1.68, 7.54, repro,
2006-09-11,1.38, -2.60, 0.80, 2.07, 1.7, 7.7, repro,
2006-09-12,2.05, -2.16, -1.40, 1.99, 1.67, 7.52, repro,
2006-09-13,2.21, -2.23, 7.48, 2, 1.68, 7.57, repro,
2006-09-14,1.88, -4.56, 10.32, 2.08, 1.71, 7.76, repro,
2006-09-15,0.76, -3.79, 8.30, 2.04, 1.66, 7.57, repro,
2006-09-16,2.25, -4.67, 1.52, 1.99, 1.64, 7.43, repro,
2006-09-17,1.91, -3.98, -0.73, 1.97, 1.63, 7.39, repro,
2006-09-18,1.49, -3.34, 2.84, 1.97, 1.62, 7.37, repro,
2006-09-19,1.43, -2.84, 2.21, 1.98, 1.67, 7.6, repro,
2006-09-20,1.24, -4.27, -3.63, 1.97, 1.64, 7.42, repro,
2006-09-21,1.13, -4.27, 0.30, 2.01, 1.68, 7.56, repro,
2006-09-22,1.92, -3.63, 2.99, 2.05, 1.71, 7.7, repro,
2006-09-23,1.93, -3.41, 1.22, 2.02, 1.66, 7.55, repro,
2006-09-24,2.25, -3.84, -3.47, 2.09, 1.74, 7.91, repro,
2006-09-25,1.45, -3.47, -3.47, 2.04, 1.66, 7.52, repro,
2006-09-26,2.69, -3.84, -2.89, 2.05, 1.69, 7.69, repro,
2006-09-27,1.82, -2.70, -5.99, 2.12, 1.76, 7.89, repro,
2006-09-28,2.52, -3.66, -2.11, 2.03, 1.65, 7.47, repro,
2006-09-29,1.17, -3.28, 5.78, 2.05, 1.69, 7.62, repro,
2006-09-30,1.19, -3.35, 0.49, 2.03, 1.66, 7.52, repro,
2006-10-01,1.20, -3.35, 2.99, 2.03, 1.66, 7.51, repro,
2006-10-02,3.01, -4.11, 3.06, 2.15, 1.83, 8.04, repro,
2006-10-03,2.06, -2.72, -2.57, 2.1, 1.74, 7.72, repro,
2006-10-04,2.36, -2.90, -8.83, 2.02, 1.66, 7.51, repro,
2006-10-05,1.20, -4.20, -6.15, 2.05, 1.71, 7.74, repro,
2006-10-06,1.30, -3.54, 1.21, 2.08, 1.68, 7.76, repro,
2006-10-07,1.50, -3.49, -4.11, 2.06, 1.7, 7.7, repro,
2006-10-08,-0.15, -3.50, -11.26, 2.08, 1.72, 7.82, repro,
2006-10-09,1.70, -4.20, 0.09, 2.02, 1.68, 7.59, repro,
2006-10-10,2.38, -4.31, -3.67, 2, 1.7, 7.65, repro,
2006-10-11,1.72, -3.97, 0.24, 2.04, 1.76, 7.88, repro,
2006-10-12,2.03, -3.00, 8.23, 2.05, 1.76, 7.87, repro,
2006-10-13,2.29, -2.49, 5.33, 2.03, 1.77, 7.9, repro,
2006-10-14,1.94, -4.56, 2.14, 2.01, 1.76, 7.82, repro,
2006-10-15,0.96, -4.65, 7.69, 2.05, 1.8, 8.01, repro,
2006-10-16,2.20, -4.03, 3.53, 2.04, 1.79, 7.97, repro,
2006-10-17,2.18, -3.96, 3.95, 2.06, 1.83, 8.19, repro,
2006-10-18,2.22, -3.56, 3.59, 2.09, 1.72, 8.1, repro,
2006-10-19,1.22, -4.48, -5.06, 2.01, 1.73, 7.76, repro,
2006-10-20,1.82, -3.62, 0.73, 2.17, 1.82, 8.7, repro,
