PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS08
4-character ID, P572
Station name, ShadequartCS2006
Begin Date, 2006-07-20
End Date, 2018-10-02
Release Date, 2018-11-11
Source file, P572.nmt.igs08.pos
Offset from source file, 1.21 mm North, -80.33 mm East, 5.52 mm Vertical
Reference position, 36.5855163107 North Latitude, -118.954595895 East Longitude, 1167.32716 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-07-20,0.00, 0.00, 0.00, 1.76, 1.69, 7.05, repro,
2006-07-21,-0.57, -0.47, 0.28, 1.98, 1.86, 7.85, repro,
2006-07-22,-1.15, -2.35, -0.19, 1.88, 1.83, 7.42, repro,
2006-07-23,-0.31, -0.32, 0.26, 2.29, 2.12, 8.87, repro,
2006-07-24,0.51, 0.41, -5.36, 2.61, 2.46, 10.15, repro,
2006-07-25,-0.71, -1.44, 1.62, 1.96, 1.83, 7.68, repro,
2006-07-26,-0.88, 1.64, -1.76, 2.11, 2.02, 8.31, repro,
2006-07-27,0.75, -1.50, 0.60, 2.57, 2.47, 9.98, repro,
2006-07-28,-0.12, -0.97, 3.98, 1.63, 1.57, 6.54, repro,
2006-07-29,-0.15, -0.70, 6.88, 1.8, 1.73, 7.16, repro,
2006-07-30,-0.17, -1.96, 3.50, 1.44, 1.39, 5.91, repro,
2006-07-31,0.86, -2.45, 6.21, 1.44, 1.39, 5.85, repro,
2006-08-01,-0.95, -1.30, 1.52, 1.59, 1.51, 6.41, repro,
2006-08-02,0.06, -1.23, -0.47, 1.46, 1.4, 5.99, repro,
2006-08-03,0.87, -1.16, -2.53, 1.24, 1.19, 5.16, repro,
2006-08-04,-1.03, -0.59, -3.79, 1.79, 1.7, 7.2, repro,
2006-08-05,-0.14, -1.93, 2.52, 1.65, 1.57, 6.68, repro,
2006-08-06,0.30, -1.19, -1.74, 1.51, 1.44, 6.16, repro,
2006-08-07,0.30, -2.00, -4.34, 1.73, 1.64, 6.94, repro,
2006-08-08,0.18, -1.96, -0.52, 1.21, 1.14, 4.96, repro,
2006-08-09,0.98, -1.86, 1.63, 1.33, 1.26, 5.37, repro,
2006-08-10,0.56, -1.64, 2.97, 1.56, 1.46, 6.26, repro,
2006-08-11,0.12, -1.06, 1.62, 1.51, 1.42, 5.99, repro,
2006-08-12,0.48, -1.75, 1.26, 1.39, 1.3, 5.73, repro,
2006-08-13,0.30, -1.61, 2.47, 1.59, 1.49, 6.46, repro,
2006-08-14,1.11, -1.67, 3.31, 1.44, 1.34, 5.76, repro,
2006-08-15,-0.72, -2.47, 0.94, 1.35, 1.22, 5.47, repro,
2006-08-16,-0.67, -1.85, 3.40, 1.33, 1.24, 5.37, repro,
2006-08-17,-0.31, -2.94, -1.97, 1.23, 1.15, 4.97, repro,
2006-08-18,0.97, -1.87, 0.65, 1.65, 1.53, 6.5, repro,
2006-08-19,0.47, -1.88, 1.65, 1.5, 1.39, 5.98, repro,
2006-08-20,-0.06, -1.88, -0.85, 1.52, 1.41, 6, repro,
2006-08-21,1.22, -2.57, -4.54, 1.38, 1.31, 5.59, repro,
2006-08-22,1.00, -2.55, 2.78, 1.56, 1.46, 6.08, repro,
2006-08-23,0.57, -1.54, 0.84, 1.68, 1.61, 6.68, repro,
2006-08-24,-0.23, -2.14, 4.07, 1.6, 1.54, 6.44, repro,
2006-08-25,-0.88, -2.68, 2.37, 1.47, 1.43, 6.04, repro,
2006-08-26,-0.23, -1.74, 0.53, 1.25, 1.24, 5.23, repro,
2006-08-27,0.13, -1.53, -4.21, 1.5, 1.49, 6.14, repro,
2006-08-28,-0.55, -2.25, 3.53, 1.42, 1.41, 5.89, repro,
2006-08-29,-0.44, -2.46, 3.96, 1.61, 1.57, 6.58, repro,
2006-08-30,-0.15, -2.28, -5.29, 1.75, 1.71, 7.11, repro,
2006-08-31,-0.08, -2.69, 0.41, 1.82, 1.8, 7.31, repro,
2006-09-01,-0.62, -2.63, -3.23, 1.77, 1.78, 7.13, repro,
2006-09-02,0.58, -1.64, -4.24, 1.42, 1.4, 5.94, repro,
2006-09-03,-0.11, -3.12, -2.31, 1.69, 1.66, 6.87, repro,
2006-09-04,-0.79, -2.55, -1.89, 1.68, 1.66, 6.91, repro,
2006-09-05,-0.31, -1.86, -8.53, 1.92, 1.89, 7.79, repro,
2006-09-06,0.31, -2.07, -1.43, 1.78, 1.75, 7.29, repro,
2006-09-07,0.18, -2.40, 0.61, 1.85, 1.8, 7.52, repro,
2006-09-08,1.58, -4.40, 3.03, 1.73, 1.65, 6.64, repro,
2006-09-09,-0.11, -3.38, -0.93, 1.51, 1.47, 6.11, repro,
2006-09-10,0.00, -3.07, -1.33, 1.33, 1.28, 5.48, repro,
2006-09-11,-0.62, -3.83, -3.96, 1.44, 1.43, 5.74, repro,
2006-09-12,0.20, -2.56, -6.74, 1.45, 1.4, 5.72, repro,
2006-09-13,0.32, -2.94, -0.41, 1.42, 1.37, 5.82, repro,
2006-09-14,-0.52, -5.58, 7.62, 1.79, 1.71, 7.1, repro,
2006-09-15,-0.76, -4.68, 4.07, 1.47, 1.41, 5.88, repro,
