PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P572
Station name, ShadequartCS2006
Begin Date, 2006-07-20
End Date, 2018-09-15
Release Date, 2018-11-17
Source file, P572.nmt.nam08.pos
Offset from source file, 38.63 mm North, -37.15 mm East, 4.74 mm Vertical
Reference position, 36.5855163107 North Latitude, -118.954595895 East Longitude, 1167.32716 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-07-20,0.00, 0.00, 0.00, 1.76, 1.69, 7.04, repro,
2006-07-21,-0.67, -0.30, 0.50, 1.98, 1.86, 7.84, repro,
2006-07-22,-1.14, -2.10, 0.20, 1.88, 1.83, 7.41, repro,
2006-07-23,-0.24, 0.00, 0.61, 2.29, 2.12, 8.86, repro,
2006-07-24,0.65, 0.71, -4.78, 2.61, 2.46, 10.15, repro,
2006-07-25,-0.64, -1.09, 1.75, 1.96, 1.83, 7.67, repro,
2006-07-26,-0.60, 2.02, -1.04, 2.11, 2.02, 8.3, repro,
2006-07-27,1.00, -1.20, 1.20, 2.57, 2.47, 9.98, repro,
2006-07-28,0.08, -0.56, 4.51, 1.63, 1.57, 6.53, repro,
2006-07-29,0.06, -0.35, 6.82, 1.8, 1.73, 7.15, repro,
2006-07-30,0.03, -1.43, 3.93, 1.44, 1.39, 5.9, repro,
2006-07-31,1.24, -1.92, 7.19, 1.44, 1.39, 5.84, repro,
2006-08-01,-0.55, -0.76, 2.03, 1.59, 1.51, 6.4, repro,
2006-08-02,0.44, -0.60, 0.00, 1.46, 1.4, 5.98, repro,
2006-08-03,1.21, -0.54, -2.51, 1.24, 1.19, 5.15, repro,
2006-08-04,-0.53, -0.02, -3.43, 1.79, 1.7, 7.19, repro,
2006-08-05,0.30, -1.30, 2.67, 1.65, 1.57, 6.67, repro,
2006-08-06,0.79, -0.56, -1.37, 1.51, 1.44, 6.15, repro,
2006-08-07,0.77, -1.24, -4.07, 1.73, 1.64, 6.93, repro,
2006-08-08,0.73, -1.16, -0.22, 1.21, 1.14, 4.95, repro,
2006-08-09,1.55, -1.04, 2.02, 1.33, 1.26, 5.36, repro,
2006-08-10,1.17, -0.76, 3.33, 1.56, 1.46, 6.25, repro,
2006-08-11,0.71, -0.19, 1.66, 1.51, 1.42, 5.98, repro,
2006-08-12,1.11, -0.75, 1.73, 1.39, 1.3, 5.72, repro,
2006-08-13,1.01, -0.71, 2.98, 1.59, 1.49, 6.45, repro,
2006-08-14,1.83, -0.66, 3.45, 1.44, 1.34, 5.75, repro,
2006-08-15,0.04, -1.44, 1.26, 1.35, 1.22, 5.46, repro,
2006-08-16,0.09, -0.81, 3.69, 1.33, 1.24, 5.36, repro,
2006-08-17,0.50, -1.91, -1.69, 1.23, 1.15, 4.96, repro,
2006-08-18,1.81, -0.75, 1.11, 1.65, 1.53, 6.49, repro,
2006-08-19,1.33, -0.68, 2.07, 1.5, 1.39, 5.97, repro,
2006-08-20,0.81, -0.72, -1.12, 1.52, 1.41, 5.99, repro,
2006-08-21,2.14, -1.37, -4.58, 1.38, 1.31, 5.58, repro,
2006-08-22,2.01, -1.31, 3.19, 1.56, 1.46, 6.07, repro,
2006-08-23,1.46, -0.17, 1.08, 1.68, 1.61, 6.67, repro,
2006-08-24,0.83, -0.80, 4.44, 1.6, 1.54, 6.43, repro,
2006-08-25,0.23, -1.37, 2.85, 1.47, 1.43, 6.03, repro,
2006-08-26,0.84, -0.27, 0.89, 1.25, 1.24, 5.22, repro,
2006-08-27,1.26, -0.08, -3.80, 1.5, 1.49, 6.13, repro,
2006-08-28,0.61, -0.79, 3.99, 1.42, 1.41, 5.88, repro,
2006-08-29,0.66, -0.97, 4.27, 1.61, 1.57, 6.58, repro,
2006-08-30,1.00, -0.73, -5.09, 1.75, 1.71, 7.1, repro,
2006-08-31,1.20, -1.21, 0.87, 1.82, 1.8, 7.31, repro,
2006-09-01,0.59, -1.03, -3.23, 1.77, 1.78, 7.12, repro,
2006-09-02,1.79, -0.02, -4.30, 1.42, 1.4, 5.93, repro,
2006-09-03,1.14, -1.52, -2.22, 1.69, 1.66, 6.87, repro,
2006-09-04,0.45, -0.87, -1.81, 1.68, 1.66, 6.91, repro,
2006-09-05,0.99, -0.23, -8.95, 1.92, 1.89, 7.79, repro,
2006-09-06,1.66, -0.39, -1.56, 1.78, 1.75, 7.28, repro,
2006-09-07,1.67, -0.56, 1.18, 1.85, 1.8, 7.51, repro,
2006-09-08,3.07, -2.63, 3.63, 1.73, 1.65, 6.63, repro,
2006-09-09,1.46, -1.53, -0.52, 1.51, 1.47, 6.1, repro,
2006-09-10,1.56, -1.23, -0.82, 1.33, 1.28, 5.47, repro,
2006-09-11,0.98, -1.91, -3.62, 1.44, 1.43, 5.74, repro,
2006-09-12,1.78, -0.62, -6.69, 1.45, 1.4, 5.72, repro,
2006-09-13,1.81, -1.28, -0.73, 1.42, 1.37, 5.81, repro,
2006-09-14,1.10, -3.68, 8.20, 1.79, 1.71, 7.09, repro,
2006-09-15,0.85, -2.69, 4.80, 1.47, 1.41, 5.87, repro,
2006-09-16,1.41, -3.42, -1.27, 1.36, 1.29, 5.46, repro,
2006-09-17,0.72, -2.19, -2.27, 1.22, 1.17, 5.01, repro,
2006-09-18,0.64, -2.17, -2.33, 1.21, 1.16, 5.23, repro,
2006-09-19,0.37, -1.74, 3.93, 1.22, 1.17, 5.15, repro,
2006-09-20,0.53, -3.23, 1.74, 1.28, 1.25, 5.25, repro,
2006-09-21,0.38, -1.99, 4.44, 1.36, 1.3, 5.67, repro,
2006-09-22,0.99, -1.88, 5.69, 1.25, 1.2, 5.27, repro,
2006-09-23,0.35, -1.94, 2.00, 1.32, 1.26, 5.4, repro,
2006-09-24,0.98, -2.53, 1.28, 1.27, 1.22, 5.15, repro,
2006-09-25,1.40, -3.04, 0.44, 1.17, 1.13, 4.93, repro,
2006-09-26,1.68, -2.17, -5.48, 1.25, 1.2, 5.24, repro,
2006-09-27,1.07, -1.95, -4.66, 1.25, 1.2, 5.22, repro,
2006-09-28,1.48, -1.95, -0.03, 1.23, 1.18, 5.12, repro,
2006-09-29,0.38, -1.89, 5.35, 1.4, 1.33, 5.79, repro,
2006-09-30,0.82, -2.49, 8.06, 1.33, 1.26, 5.49, repro,
2006-10-01,0.48, -2.19, 7.78, 1.53, 1.46, 6.29, repro,
2006-10-02,1.10, -3.00, 6.53, 1.46, 1.39, 5.94, repro,
2006-10-03,0.94, -2.04, -0.77, 1.47, 1.39, 5.94, repro,
2006-10-04,1.20, -1.54, 1.70, 1.64, 1.55, 6.64, repro,
2006-10-05,1.21, -2.68, 0.06, 1.5, 1.42, 6.18, repro,
2006-10-06,0.66, -3.02, 4.71, 1.44, 1.36, 5.88, repro,
2006-10-07,0.79, -2.53, -1.15, 1.3, 1.27, 5.4, repro,
2006-10-08,-0.09, -2.92, -3.98, 1.52, 1.48, 6.13, repro,
2006-10-09,0.96, -3.38, -0.91, 1.53, 1.48, 6.33, repro,
2006-10-10,1.26, -3.44, -1.89, 1.57, 1.51, 6.43, repro,
2006-10-11,0.97, -2.66, 3.41, 1.2, 1.16, 5.11, repro,
2006-10-12,1.64, -2.57, 5.35, 1.19, 1.17, 5.11, repro,
2006-10-13,0.46, -2.32, 11.80, 1.69, 1.65, 6.79, repro,
2006-10-14,0.44, -2.54, 4.48, 1.71, 1.65, 6.93, repro,
2006-10-15,-0.10, -2.89, 11.55, 1.32, 1.28, 5.52, repro,
2006-10-16,0.96, -2.00, 7.65, 1.5, 1.45, 6.31, repro,
2006-10-17,1.31, -2.70, 2.37, 1.5, 1.45, 6.22, repro,
2006-10-18,1.31, -2.58, 4.96, 1.49, 1.44, 6.19, repro,
2006-10-19,0.83, -2.93, -0.43, 1.34, 1.29, 5.68, repro,
2006-10-20,1.10, -2.35, 3.65, 1.32, 1.26, 5.65, repro,
2006-10-21,0.95, -2.55, 1.66, 1.25, 1.21, 5.45, repro,
2006-10-22,0.86, -2.88, -3.33, 1.27, 1.21, 5.4, repro,
2006-10-23,0.72, -2.98, -2.87, 1.21, 1.17, 5.07, repro,
2006-10-24,1.14, -2.99, 4.14, 1.35, 1.28, 5.76, repro,
2006-10-25,1.20, -2.64, 2.09, 1.26, 1.23, 5.37, repro,
2006-10-26,0.48, -3.23, -2.60, 1.15, 1.1, 4.98, repro,
2006-10-27,0.95, -2.99, -6.21, 1.1, 1.05, 4.79, repro,
2006-10-28,0.91, -2.99, -2.52, 1.07, 1.02, 4.69, repro,
2006-10-29,0.74, -2.83, 1.24, 1.12, 1.06, 4.82, repro,
2006-10-30,0.73, -2.49, 4.11, 1.08, 1.03, 4.69, repro,
2006-10-31,1.00, -2.71, 3.68, 1.11, 1.05, 4.74, repro,
2006-11-01,0.70, -3.09, 2.32, 1.11, 1.05, 4.79, repro,
