PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS08
4-character ID, P572
Station name, ShadequartCS2006
Begin Date, 2006-07-20
End Date, 2018-09-15
Release Date, 2018-12-19
Source file, P572.pbo.igs08.pos
Offset from source file, 1.66 mm North, -81.07 mm East, 5.05 mm Vertical
Reference position, 36.5855163084 North Latitude, -118.9545958984 East Longitude, 1167.32826 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-07-20,0.00, 0.00, 0.00, 1.74, 1.57, 6.64, repro,
2006-07-21,-0.07, -0.21, -0.39, 1.83, 1.6, 6.93, repro,
2006-07-22,-0.90, -1.48, 1.65, 1.71, 1.57, 6.56, repro,
2006-07-23,-0.12, -0.35, -0.34, 2.04, 1.77, 7.73, repro,
2006-07-24,0.51, -0.68, -12.06, 2.16, 1.87, 8.14, repro,
2006-07-25,-0.38, -1.63, -1.28, 1.88, 1.68, 7.23, repro,
2006-07-26,-0.02, 0.87, -2.46, 1.91, 1.68, 7.21, repro,
2006-07-27,1.31, -1.16, 0.71, 2.13, 1.86, 8.06, repro,
2006-07-28,0.52, -1.87, -0.83, 1.6, 1.46, 6.04, repro,
2006-07-29,0.25, -1.70, -0.08, 1.71, 1.54, 6.42, repro,
2006-07-30,0.63, -1.94, -0.88, 1.4, 1.28, 5.31, repro,
2006-07-31,1.50, -2.82, 1.77, 1.4, 1.29, 5.35, repro,
2006-08-01,0.14, -1.57, 1.13, 1.49, 1.37, 5.67, repro,
2006-08-02,0.65, -1.43, 1.82, 1.36, 1.25, 5.2, repro,
2006-08-03,1.03, -1.41, -1.85, 1.24, 1.15, 4.76, repro,
2006-08-04,-0.64, -1.15, -2.18, 1.5, 1.34, 5.7, repro,
2006-08-05,0.05, -2.39, -0.62, 1.61, 1.44, 6.14, repro,
2006-08-06,1.19, -1.34, 0.33, 1.5, 1.35, 5.73, repro,
2006-08-07,1.74, -1.58, -0.31, 1.71, 1.53, 6.53, repro,
2006-08-08,0.57, -2.27, 0.23, 1.28, 1.15, 4.81, repro,
2006-08-09,1.93, -1.96, 1.08, 1.37, 1.25, 5.14, repro,
2006-08-10,1.15, -2.11, 0.49, 1.58, 1.4, 5.97, repro,
2006-08-11,0.93, -1.10, -0.77, 1.49, 1.34, 5.63, repro,
2006-08-12,1.00, -2.06, -0.83, 1.31, 1.18, 5.01, repro,
2006-08-13,1.12, -2.05, 7.71, 1.55, 1.37, 5.84, repro,
2006-08-14,1.66, -2.47, 7.06, 1.49, 1.32, 5.62, repro,
2006-08-15,-0.71, -3.37, 1.40, 1.37, 1.2, 5.11, repro,
2006-08-16,-0.12, -2.48, 1.05, 1.43, 1.27, 5.37, repro,
2006-08-17,0.88, -3.30, 1.29, 1.24, 1.14, 4.71, repro,
2006-08-18,1.53, -2.44, 0.82, 1.71, 1.51, 6.41, repro,
2006-08-19,1.18, -2.37, -0.48, 1.57, 1.39, 5.83, repro,
2006-08-20,0.57, -2.79, 1.37, 1.56, 1.39, 5.79, repro,
2006-08-21,2.12, -3.16, -6.25, 1.44, 1.3, 5.43, repro,
2006-08-22,1.87, -3.41, 1.45, 1.55, 1.38, 5.73, repro,
2006-08-23,0.56, -2.30, -1.94, 1.56, 1.41, 5.86, repro,
2006-08-24,-0.35, -2.95, 3.52, 1.59, 1.45, 6.01, repro,
2006-08-25,-0.44, -3.47, 1.87, 1.51, 1.4, 5.8, repro,
2006-08-26,0.07, -2.92, 4.41, 1.34, 1.29, 5.23, repro,
2006-08-27,0.72, -2.73, -1.39, 1.6, 1.5, 6.18, repro,
