PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P572
Station name, ShadequartCS2006
Begin Date, 2006-07-20
End Date, 2018-09-15
Release Date, 2018-11-17
Source file, P572.pbo.nam08.pos
Offset from source file, 39.00 mm North, -38.04 mm East, 3.69 mm Vertical
Reference position, 36.5855163084 North Latitude, -118.9545958984 East Longitude, 1167.32826 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-07-20,0.00, 0.00, 0.00, 1.74, 1.57, 6.63, repro,
2006-07-21,-0.11, -0.14, -0.24, 1.83, 1.6, 6.92, repro,
2006-07-22,-0.86, -1.29, 1.90, 1.71, 1.57, 6.55, repro,
2006-07-23,-0.03, -0.16, -0.17, 2.04, 1.77, 7.72, repro,
2006-07-24,0.60, -0.52, -12.08, 2.16, 1.87, 8.14, repro,
2006-07-25,-0.34, -1.37, -1.40, 1.88, 1.68, 7.22, repro,
2006-07-26,0.14, 1.13, -2.30, 1.91, 1.68, 7.2, repro,
2006-07-27,1.51, -0.91, 0.76, 2.13, 1.86, 8.05, repro,
2006-07-28,0.67, -1.51, -0.89, 1.6, 1.46, 6.03, repro,
2006-07-29,0.44, -1.41, -0.54, 1.71, 1.54, 6.41, repro,
2006-07-30,0.76, -1.52, -0.94, 1.4, 1.28, 5.3, repro,
2006-07-31,1.78, -2.38, 1.91, 1.4, 1.29, 5.34, repro,
2006-08-01,0.45, -1.14, 1.08, 1.49, 1.37, 5.66, repro,
2006-08-02,0.99, -0.88, 1.94, 1.36, 1.25, 5.19, repro,
2006-08-03,1.39, -0.85, -1.87, 1.24, 1.15, 4.75, repro,
2006-08-04,-0.20, -0.61, -2.17, 1.5, 1.34, 5.69, repro,
2006-08-05,0.44, -1.82, -0.99, 1.61, 1.44, 6.13, repro,
2006-08-06,1.63, -0.73, 0.26, 1.5, 1.35, 5.72, repro,
2006-08-07,2.18, -0.87, -0.33, 1.71, 1.53, 6.52, repro,
2006-08-08,1.08, -1.49, 0.13, 1.28, 1.15, 4.8, repro,
2006-08-09,2.48, -1.21, 1.14, 1.37, 1.25, 5.13, repro,
2006-08-10,1.71, -1.27, 0.37, 1.58, 1.4, 5.96, repro,
2006-08-11,1.50, -0.32, -1.04, 1.49, 1.34, 5.62, repro,
2006-08-12,1.63, -1.09, -0.67, 1.31, 1.18, 5, repro,
2006-08-13,1.79, -1.16, 7.98, 1.55, 1.37, 5.83, repro,
2006-08-14,2.38, -1.50, 7.00, 1.49, 1.32, 5.61, repro,
