PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS08
4-character ID, P573
Station name, Blackrock_CS2008
Begin Date, 2008-09-25
End Date, 2019-08-21
Release Date, 2019-08-22
Source file, P573.cwu.igs08.pos
Offset from source file, 15.05 mm North, -41.10 mm East, -7.04 mm Vertical
Reference position, 36.0930948216 North Latitude, -118.2604985541 East Longitude, 2441.39122 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-09-25,0.00, 0.00, 0.00, 2.02, 1.58, 7.36, repro,
2008-09-26,-2.61, 0.09, -3.52, 2.03, 1.59, 7.41, repro,
2008-09-27,-1.29, 1.15, -4.93, 2.01, 1.57, 7.33, repro,
2008-09-28,0.22, 0.49, -4.38, 2.01, 1.57, 7.33, repro,
2008-09-29,0.10, 0.85, -7.79, 2.03, 1.59, 7.39, repro,
2008-09-30,-0.14, -0.44, -5.48, 2.09, 1.66, 7.71, repro,
2008-10-01,0.09, 0.26, -7.01, 2.1, 1.67, 7.78, repro,
2008-10-02,-1.25, 1.71, -10.04, 2.02, 1.57, 7.33, repro,
2008-10-03,0.45, -0.75, -10.98, 2.05, 1.61, 7.46, repro,
2008-10-04,-1.20, 0.79, -6.58, 2.02, 1.58, 7.34, repro,
2008-10-05,-0.50, 0.26, -4.63, 2.07, 1.63, 7.55, repro,
2008-10-06,-0.02, 0.12, -10.85, 2.02, 1.58, 7.35, repro,
2008-10-07,-0.26, -0.38, -10.93, 2.03, 1.58, 7.43, repro,
2008-10-08,-1.56, -0.68, -8.40, 2.02, 1.61, 7.39, repro,
2008-10-09,-1.19, 0.84, -11.30, 1.97, 1.57, 7.26, repro,
2008-10-10,-0.13, -0.94, -16.08, 1.98, 1.56, 7.22, repro,
2008-10-11,-1.34, -0.53, -8.90, 1.99, 1.57, 7.27, repro,
2008-10-12,-0.38, 0.12, -9.21, 1.98, 1.58, 7.32, repro,
2008-10-13,-1.09, 0.40, -13.93, 1.98, 1.56, 7.23, repro,
2008-10-14,-0.87, 2.13, -11.74, 1.98, 1.56, 7.25, repro,
2008-10-15,-0.93, 0.47, -11.31, 2.04, 1.58, 7.44, repro,
2008-10-16,-0.41, 0.15, -13.19, 2.05, 1.59, 7.5, repro,
2008-10-17,-0.70, -0.68, -15.82, 1.98, 1.56, 7.25, repro,
2008-10-18,-1.80, 0.55, -14.13, 1.96, 1.56, 7.16, repro,
2008-10-19,-1.06, -1.54, -7.91, 1.97, 1.56, 7.21, repro,
2008-10-20,-0.52, -0.84, -7.61, 1.96, 1.55, 7.18, repro,
2008-10-21,-0.79, -0.40, -6.81, 1.97, 1.56, 7.2, repro,
2008-10-22,0.03, -0.52, -10.77, 1.98, 1.57, 7.23, repro,
2008-10-23,-0.63, -0.44, -10.61, 1.95, 1.55, 7.13, repro,
2008-10-24,-0.70, -0.47, -8.17, 2, 1.58, 7.3, repro,
2008-10-25,-0.29, -0.47, -8.65, 2.01, 1.58, 7.33, repro,
2008-10-26,-1.04, -1.02, -10.69, 2, 1.59, 7.32, repro,
2008-10-27,-0.49, -1.23, -14.77, 2.01, 1.59, 7.34, repro,
2008-10-28,-0.56, -1.02, -14.89, 2.08, 1.6, 7.45, repro,
2008-10-29,-1.46, -1.91, -14.24, 2.08, 1.61, 7.48, repro,
2008-10-30,-2.20, -0.54, -12.00, 2.01, 1.59, 7.35, repro,
2008-10-31,-3.28, -1.85, -14.52, 2.13, 1.72, 7.75, repro,
2008-11-01,-2.44, -2.16, -4.12, 2.02, 1.63, 7.46, repro,
2008-11-02,-2.53, -4.42, -13.43, 2.01, 1.59, 7.35, repro,
2008-11-03,-2.00, -1.69, -6.55, 2.25, 1.76, 8.13, repro,
2008-11-04,-0.44, -2.75, -8.36, 2.03, 1.63, 7.49, repro,
2008-11-05,-0.19, -1.93, -13.12, 2.04, 1.63, 7.52, repro,
2008-11-06,-0.38, -1.99, -8.27, 2.07, 1.68, 7.61, repro,
2008-11-07,-0.31, -1.56, -12.43, 2.04, 1.68, 7.56, repro,
2008-11-08,-0.78, -1.90, -7.67, 2.02, 1.62, 7.41, repro,
2008-11-09,-1.36, -2.37, -6.14, 2.04, 1.65, 7.51, repro,
2008-11-10,-1.46, -3.27, -6.13, 2.1, 1.68, 7.63, repro,
2008-11-11,-0.88, -1.95, -5.17, 2, 1.6, 7.36, repro,
2008-11-12,-0.64, -2.15, -7.89, 2, 1.6, 7.36, repro,
2008-11-13,-0.10, -2.54, -6.32, 1.99, 1.61, 7.36, repro,
2008-11-14,0.41, -1.99, -9.05, 2.38, 1.93, 8.75, repro,
2008-11-15,-0.83, -2.60, -11.21, 2.06, 1.71, 7.62, repro,
2008-11-16,-1.34, -1.56, -11.87, 2.13, 1.75, 7.73, repro,
2008-11-17,0.44, -3.10, -11.14, 2.12, 1.78, 7.77, repro,
2008-11-18,-0.22, -1.69, -11.27, 2.14, 1.82, 8.02, repro,
2008-11-19,-0.49, -2.70, -16.44, 2.11, 1.79, 7.83, repro,
2008-11-20,-0.50, -1.94, -15.74, 2.22, 1.86, 8.39, repro,
2008-11-21,0.42, -2.90, -11.27, 2.21, 1.86, 8.35, repro,
2008-11-22,-0.43, -2.71, -7.82, 2.11, 1.78, 7.78, repro,
2008-11-23,-1.47, -2.81, -7.04, 2.06, 1.67, 7.57, repro,
2008-11-24,-0.38, -2.55, -10.96, 2.14, 1.73, 7.75, repro,
2008-11-25,0.76, -1.32, -13.03, 2.1, 1.76, 7.78, repro,
2008-11-26,0.40, -4.55, -10.99, 2.03, 1.67, 7.58, repro,
2008-11-27,-0.84, -3.20, -7.58, 1.98, 1.6, 7.36, repro,
2008-11-28,-0.43, -3.79, -12.83, 2.05, 1.7, 7.68, repro,
2008-11-29,-0.35, -2.73, -10.94, 2.2, 1.92, 8.4, repro,
2008-11-30,-0.06, -1.89, -11.38, 2.24, 1.9, 8.34, repro,
