PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P573
Station name, Blackrock_CS2008
Begin Date, 2008-09-25
End Date, 2019-08-21
Release Date, 2019-08-22
Source file, P573.cwu.nam08.pos
Offset from source file, 28.52 mm North, -25.82 mm East, -8.13 mm Vertical
Reference position, 36.0930948216 North Latitude, -118.2604985541 East Longitude, 2441.39122 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-09-25,0.00, 0.00, 0.00, 2.02, 1.58, 7.36, repro,
2008-09-26,-2.60, 0.15, -3.66, 2.03, 1.59, 7.41, repro,
2008-09-27,-1.27, 1.22, -5.10, 2.01, 1.57, 7.33, repro,
2008-09-28,0.29, 0.63, -4.51, 2.01, 1.57, 7.33, repro,
2008-09-29,0.16, 1.03, -7.97, 2.03, 1.59, 7.39, repro,
2008-09-30,-0.17, -0.29, -5.95, 2.09, 1.66, 7.71, repro,
2008-10-01,0.14, 0.51, -7.37, 2.1, 1.67, 7.78, repro,
2008-10-02,-1.11, 2.06, -9.92, 2.02, 1.57, 7.33, repro,
2008-10-03,0.56, -0.38, -11.09, 2.05, 1.61, 7.46, repro,
2008-10-04,-1.03, 1.17, -6.61, 2.02, 1.58, 7.34, repro,
2008-10-05,-0.20, 0.57, -4.57, 2.07, 1.63, 7.55, repro,
2008-10-06,0.21, 0.49, -11.21, 2.02, 1.58, 7.35, repro,
2008-10-07,0.05, 0.06, -11.00, 2.03, 1.58, 7.43, repro,
2008-10-08,-1.25, -0.15, -8.37, 2.02, 1.61, 7.39, repro,
2008-10-09,-0.88, 1.36, -11.52, 1.97, 1.57, 7.26, repro,
2008-10-10,0.27, -0.40, -16.11, 1.98, 1.56, 7.22, repro,
2008-10-11,-0.84, 0.07, -8.61, 1.99, 1.57, 7.27, repro,
2008-10-12,0.10, 0.65, -9.39, 1.98, 1.58, 7.32, repro,
2008-10-13,-0.60, 1.02, -14.15, 1.98, 1.56, 7.23, repro,
2008-10-14,-0.33, 2.84, -11.80, 1.98, 1.56, 7.25, repro,
