PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS08
4-character ID, P573
Station name, Blackrock_CS2008
Begin Date, 2008-09-24
End Date, 2018-10-02
Release Date, 2018-11-11
Source file, P573.nmt.igs08.pos
Offset from source file, 15.56 mm North, -41.18 mm East, -30.72 mm Vertical
Reference position, 36.0930948238 North Latitude, -118.2604985511 East Longitude, 2441.38962 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-09-24,0.00, 0.00, 0.00, 6.58, 6.33, 70.12, repro,
2008-09-25,1.08, -0.05, -28.40, 1.44, 1.29, 5.71, repro,
2008-09-26,-0.70, 0.41, -28.84, 1.42, 1.55, 4.95, repro,
2008-09-27,-0.48, -0.75, -28.18, 2.08, 2.07, 6.48, repro,
2008-09-28,0.16, 0.90, -30.35, 1.53, 1.29, 5.41, repro,
2008-09-29,-0.15, -0.24, -35.12, 1.63, 1.43, 6.31, repro,
2008-09-30,-0.60, 0.47, -40.63, 1.88, 1.57, 6.53, repro,
2008-10-01,0.45, 1.01, -36.23, 1.66, 1.37, 5.7, repro,
2008-10-02,0.06, 1.36, -29.44, 1.82, 1.54, 6.37, repro,
2008-10-03,0.66, -1.02, -30.46, 1.71, 1.44, 6, repro,
2008-10-04,-0.88, 1.05, -31.18, 1.85, 1.63, 6.62, repro,
2008-10-05,-0.11, -0.26, -27.67, 1.53, 1.35, 5.43, repro,
2008-10-06,-0.23, 0.76, -34.78, 1.53, 1.26, 5.29, repro,
2008-10-07,0.27, -0.49, -33.27, 1.66, 1.48, 5.56, repro,
2008-10-08,0.01, 0.31, -33.67, 1.58, 1.31, 5.47, repro,
2008-10-09,-0.42, 0.85, -29.71, 1.38, 1.21, 5.4, repro,
2008-10-10,-0.21, -0.58, -38.50, 1.34, 1.16, 5.32, repro,
2008-10-11,-0.78, -0.74, -31.96, 1.27, 1.1, 5.06, repro,
2008-10-12,-0.77, -0.52, -31.56, 1.13, 0.98, 4.55, repro,
2008-10-13,-0.34, 0.35, -36.98, 1.23, 1.07, 4.97, repro,
2008-10-14,0.09, 1.12, -36.20, 1.21, 1.06, 4.85, repro,
2008-10-15,-0.37, -0.04, -36.63, 1.25, 1.06, 4.93, repro,
2008-10-16,-0.29, -0.60, -35.47, 1.21, 1.03, 4.81, repro,
2008-10-17,-0.71, -0.48, -37.39, 1.17, 1.01, 4.63, repro,
2008-10-18,-1.60, 0.15, -32.97, 1.37, 1.19, 5.31, repro,
2008-10-19,0.19, -1.31, -36.35, 1.22, 1.06, 4.8, repro,
2008-10-20,-0.18, -0.97, -35.12, 1.22, 1.05, 4.73, repro,
2008-10-21,-0.23, -0.73, -32.86, 1.16, 1.02, 4.58, repro,
2008-10-22,-0.38, -0.54, -34.64, 1.18, 1.04, 4.7, repro,
2008-10-23,-0.17, -0.99, -30.08, 1.43, 1.41, 4.91, repro,
2008-10-24,-0.24, -1.09, -27.92, 1.25, 1.13, 4.88, repro,
2008-10-25,0.78, -0.70, -26.95, 1.46, 1.37, 5.13, repro,
2008-10-26,-0.04, -0.67, -31.55, 1.53, 1.32, 5.62, repro,
2008-10-27,-0.20, -0.95, -34.05, 1.13, 0.99, 4.5, repro,
2008-10-28,-0.40, -0.99, -36.64, 1.24, 1.06, 4.91, repro,
2008-10-29,-0.12, -1.73, -30.54, 1.27, 1.09, 5, repro,
