PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P573
Station name, Blackrock_CS2008
Begin Date, 2008-09-24
End Date, 2018-09-15
Release Date, 2018-11-17
Source file, P573.nmt.nam08.pos
Offset from source file, 29.09 mm North, -25.67 mm East, -31.32 mm Vertical
Reference position, 36.0930948238 North Latitude, -118.2604985511 East Longitude, 2441.38962 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-09-24,0.00, 0.00, 0.00, 6.58, 6.33, 70.12, repro,
2008-09-25,1.14, -0.01, -28.34, 1.44, 1.29, 5.71, repro,
2008-09-26,-0.68, 0.50, -28.92, 1.42, 1.55, 4.95, repro,
2008-09-27,-0.45, -0.55, -28.21, 2.08, 2.07, 6.48, repro,
2008-09-28,0.21, 1.06, -30.59, 1.53, 1.29, 5.41, repro,
2008-09-29,-0.04, 0.01, -35.08, 1.63, 1.43, 6.31, repro,
2008-09-30,-0.45, 0.70, -40.65, 1.88, 1.57, 6.53, repro,
2008-10-01,0.63, 1.28, -36.31, 1.66, 1.37, 5.7, repro,
2008-10-02,0.24, 1.68, -29.39, 1.82, 1.54, 6.37, repro,
2008-10-03,0.87, -0.73, -30.54, 1.71, 1.44, 6, repro,
2008-10-04,-0.61, 1.49, -30.95, 1.85, 1.63, 6.62, repro,
2008-10-05,0.22, 0.12, -27.34, 1.53, 1.35, 5.43, repro,
2008-10-06,0.09, 1.14, -34.90, 1.53, 1.26, 5.29, repro,
2008-10-07,0.69, -0.09, -33.31, 1.66, 1.48, 5.56, repro,
2008-10-08,0.37, 0.82, -33.77, 1.58, 1.31, 5.47, repro,
2008-10-09,-0.08, 1.42, -29.74, 1.38, 1.21, 5.4, repro,
2008-10-10,0.22, -0.04, -38.54, 1.34, 1.16, 5.31, repro,
2008-10-11,-0.25, -0.15, -31.57, 1.27, 1.1, 5.05, repro,
2008-10-12,-0.31, 0.08, -31.52, 1.13, 0.98, 4.55, repro,
2008-10-13,0.08, 1.00, -37.33, 1.23, 1.07, 4.97, repro,
2008-10-14,0.54, 1.80, -36.54, 1.21, 1.06, 4.85, repro,
2008-10-15,0.10, 0.65, -37.32, 1.25, 1.06, 4.93, repro,
2008-10-16,0.22, 0.17, -35.79, 1.21, 1.03, 4.81, repro,
2008-10-17,-0.14, 0.34, -37.92, 1.17, 1.01, 4.63, repro,
2008-10-18,-1.01, 0.96, -33.34, 1.37, 1.19, 5.31, repro,
2008-10-19,0.88, -0.51, -36.46, 1.22, 1.06, 4.8, repro,
2008-10-20,0.52, -0.07, -35.43, 1.22, 1.05, 4.73, repro,
2008-10-21,0.53, 0.23, -33.00, 1.16, 1.02, 4.57, repro,
2008-10-22,0.37, 0.47, -34.84, 1.18, 1.04, 4.7, repro,
2008-10-23,0.67, 0.04, -30.05, 1.43, 1.41, 4.91, repro,
2008-10-24,0.62, 0.01, -27.76, 1.25, 1.13, 4.88, repro,
2008-10-25,1.64, 0.48, -26.47, 1.46, 1.37, 5.12, repro,
2008-10-26,0.82, 0.51, -31.47, 1.53, 1.32, 5.62, repro,
2008-10-27,0.65, 0.28, -34.04, 1.13, 0.99, 4.5, repro,
2008-10-28,0.44, 0.17, -37.26, 1.24, 1.06, 4.91, repro,
2008-10-29,0.79, -0.47, -30.53, 1.27, 1.09, 4.99, repro,
2008-10-30,-0.66, 0.32, -27.33, 1.45, 1.24, 4.97, repro,
2008-10-31,-0.59, -0.63, -29.89, 1.71, 1.49, 6.39, repro,
2008-11-01,-0.12, -0.21, -31.29, 1.93, 1.66, 6.71, repro,
2008-11-02,-1.42, -1.74, -28.81, 2.17, 1.85, 7.24, repro,
2008-11-03,0.17, -0.99, -21.79, 1.37, 1.18, 5.34, repro,
2008-11-04,2.09, -0.94, -22.44, 1.77, 1.53, 6.74, repro,
2008-11-05,1.11, -0.05, -24.84, 1.22, 1.07, 4.81, repro,
2008-11-06,0.76, 0.45, -26.83, 1.3, 1.15, 5.13, repro,
2008-11-07,0.62, -0.30, -27.38, 1.2, 1.05, 4.85, repro,
2008-11-08,0.89, -0.39, -22.05, 1.12, 0.99, 4.52, repro,
2008-11-09,-0.60, -0.38, -18.72, 1.63, 1.42, 6.23, repro,
2008-11-10,0.47, -1.97, -20.08, 1.3, 1.13, 5.11, repro,
2008-11-11,0.65, -0.71, -23.74, 1.24, 1.09, 4.86, repro,
2008-11-12,1.05, -1.46, -24.34, 1.4, 1.22, 5.39, repro,
2008-11-13,1.47, -0.79, -29.13, 1.32, 1.15, 5.13, repro,
2008-11-14,2.02, -0.55, -24.98, 1.38, 1.22, 5.37, repro,
2008-11-15,1.06, -0.70, -27.62, 1.2, 1.04, 4.69, repro,
2008-11-16,1.18, -0.39, -29.21, 1.23, 1.06, 4.87, repro,
2008-11-17,1.70, -0.99, -32.20, 1.22, 1.06, 4.78, repro,
2008-11-18,1.29, 0.11, -29.23, 1.14, 0.99, 4.52, repro,
2008-11-19,1.40, -0.90, -30.17, 1.14, 0.99, 4.56, repro,
2008-11-20,1.49, -0.92, -27.99, 1.22, 1.1, 4.89, repro,
2008-11-21,1.96, -0.84, -25.39, 1.12, 0.99, 4.51, repro,
