PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P573
Station name, Blackrock_CS2008
Begin Date, 2008-09-24
End Date, 2018-09-15
Release Date, 2019-04-02
Source file, P573.pbo.igs14.pos
Offset from source file, 63.38 mm North, -5.36 mm East, -18.87 mm Vertical
Reference position, 36.0930948218 North Latitude, -118.2604985541 East Longitude, 2441.39087 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-09-24,0.00, 0.00, 0.00, 9.26, 8.91, 99.07, repro,
2008-09-25,0.53, -0.32, -25.14, 1.49, 1.27, 5.51, repro,
2008-09-26,-1.53, 0.08, -27.49, 1.14, 1.05, 4.34, repro,
2008-09-27,-1.53, 0.27, -26.39, 1.42, 1.23, 5.11, repro,
2008-09-28,0.13, 0.48, -28.71, 1.33, 1.13, 4.89, repro,
2008-09-29,-0.38, -0.09, -33.28, 1.62, 1.37, 5.96, repro,
2008-09-30,-0.42, -0.24, -36.19, 1.66, 1.4, 6.02, repro,
2008-10-01,0.24, 0.78, -34.22, 1.37, 1.16, 5.01, repro,
2008-10-02,-0.75, 1.47, -31.11, 1.53, 1.29, 5.61, repro,
2008-10-03,0.43, -1.13, -34.54, 1.47, 1.24, 5.36, repro,
2008-10-04,-1.44, 0.85, -31.78, 1.61, 1.36, 5.92, repro,
2008-10-05,-0.57, -0.34, -28.84, 1.29, 1.1, 4.74, repro,
2008-10-06,-0.39, 0.41, -36.30, 1.28, 1.07, 4.61, repro,
2008-10-07,-0.33, -0.48, -32.26, 1.35, 1.12, 4.84, repro,
2008-10-08,-0.56, -0.16, -31.88, 1.34, 1.13, 4.87, repro,
2008-10-09,-0.89, 0.47, -32.86, 1.4, 1.19, 5.14, repro,
2008-10-10,-0.52, -1.04, -40.87, 1.34, 1.14, 4.92, repro,
2008-10-11,-1.40, -0.83, -34.92, 1.33, 1.12, 4.82, repro,
2008-10-12,-0.80, -0.70, -32.31, 1.17, 1, 4.32, repro,
2008-10-13,-0.63, -0.05, -36.27, 1.3, 1.1, 4.73, repro,
2008-10-14,-0.42, 1.14, -33.34, 1.28, 1.09, 4.68, repro,
2008-10-15,-0.70, -0.15, -36.35, 1.33, 1.1, 4.84, repro,
2008-10-16,-0.43, -0.70, -36.76, 1.29, 1.08, 4.72, repro,
2008-10-17,-0.70, -0.77, -38.96, 1.24, 1.05, 4.53, repro,
2008-10-18,-1.63, 0.02, -34.19, 1.4, 1.18, 5.11, repro,
2008-10-19,-0.39, -1.68, -32.80, 1.3, 1.09, 4.72, repro,
2008-10-20,-0.56, -1.28, -31.78, 1.28, 1.08, 4.64, repro,
2008-10-21,-0.61, -0.83, -32.28, 1.24, 1.06, 4.48, repro,
2008-10-22,-0.50, -0.87, -35.47, 1.25, 1.07, 4.55, repro,
2008-10-23,-0.53, -0.81, -33.52, 1.2, 1.03, 4.29, repro,
2008-10-24,-0.65, -1.23, -31.33, 1.15, 0.99, 4.24, repro,
2008-10-25,0.02, -0.90, -31.87, 1.23, 1.05, 4.42, repro,
2008-10-26,-0.65, -1.45, -35.08, 1.41, 1.19, 5.04, repro,
2008-10-27,-0.59, -1.31, -38.69, 1.21, 1.03, 4.42, repro,
2008-10-28,-0.54, -1.37, -40.05, 1.21, 1.01, 4.41, repro,
2008-10-29,-0.83, -2.38, -37.01, 1.28, 1.07, 4.62, repro,
2008-10-30,-1.71, -1.14, -35.17, 1.25, 1.07, 4.59, repro,
2008-10-31,-1.98, -2.49, -37.48, 1.47, 1.25, 5.42, repro,
2008-11-01,-2.01, -2.25, -32.26, 1.7, 1.44, 6.23, repro,
2008-11-02,-2.58, -3.81, -34.22, 1.81, 1.51, 6.59, repro,
2008-11-03,-1.54, -2.41, -27.85, 1.32, 1.12, 4.86, repro,
2008-11-04,0.12, -2.81, -32.13, 1.55, 1.31, 5.69, repro,
2008-11-05,-0.35, -2.25, -34.51, 1.28, 1.09, 4.7, repro,
2008-11-06,-0.68, -1.90, -34.30, 1.28, 1.13, 4.72, repro,
2008-11-07,-0.86, -2.13, -36.12, 1.21, 1.04, 4.5, repro,
2008-11-08,-0.74, -2.54, -30.72, 1.21, 1.03, 4.49, repro,
2008-11-09,-2.08, -2.66, -28.83, 1.62, 1.38, 5.97, repro,
2008-11-10,-1.05, -3.79, -28.14, 1.28, 1.1, 4.71, repro,
2008-11-11,-0.92, -2.41, -29.66, 1.19, 1.01, 4.44, repro,
2008-11-12,-0.44, -2.74, -31.17, 1.34, 1.13, 4.93, repro,
2008-11-13,0.09, -2.81, -30.92, 1.3, 1.1, 4.8, repro,
2008-11-14,0.24, -2.56, -30.39, 1.36, 1.17, 5.06, repro,
2008-11-15,-0.69, -2.82, -32.11, 1.23, 1.05, 4.55, repro,
2008-11-16,-0.79, -2.45, -33.62, 1.26, 1.08, 4.62, repro,
2008-11-17,0.26, -3.37, -35.44, 1.27, 1.09, 4.64, repro,
2008-11-18,-0.52, -2.30, -35.36, 1.25, 1.08, 4.62, repro,
2008-11-19,-0.58, -3.39, -38.93, 1.24, 1.07, 4.58, repro,
2008-11-20,-0.47, -2.97, -34.56, 1.32, 1.16, 4.93, repro,
2008-11-21,0.34, -3.41, -34.71, 1.23, 1.07, 4.58, repro,
2008-11-22,-0.26, -3.29, -30.93, 1.26, 1.09, 4.67, repro,
2008-11-23,-0.52, -3.49, -32.63, 1.2, 1.03, 4.46, repro,
2008-11-24,-0.34, -3.04, -33.78, 1.26, 1.08, 4.67, repro,
2008-11-25,0.87, -2.47, -37.55, 1.3, 1.13, 4.89, repro,
2008-11-26,0.58, -5.53, -35.91, 1.34, 1.16, 5.04, repro,
2008-11-27,-0.28, -3.98, -32.91, 1.34, 1.15, 5.01, repro,
2008-11-28,-1.07, -4.52, -34.61, 1.29, 1.12, 4.82, repro,
2008-11-29,0.09, -4.02, -33.59, 1.39, 1.22, 5.23, repro,
2008-11-30,-0.46, -2.91, -33.09, 1.24, 1.07, 4.65, repro,
2008-12-01,-0.32, -3.34, -33.04, 1.17, 1.03, 4.42, repro,
2008-12-02,-0.54, -3.28, -32.51, 1.25, 1.1, 4.69, repro,
2008-12-03,-0.41, -3.38, -31.92, 1.16, 1.02, 4.39, repro,
2008-12-04,-0.05, -4.12, -34.66, 1.16, 1.03, 4.4, repro,
2008-12-05,-0.11, -3.45, -36.83, 1.13, 1.01, 4.3, repro,
2008-12-06,0.06, -3.36, -33.26, 1.18, 1.04, 4.47, repro,
2008-12-07,-0.62, -4.26, -36.24, 1.47, 1.28, 5.5, repro,
2008-12-08,-1.64, -5.03, -27.87, 1.39, 1.24, 5.23, repro,
2008-12-09,0.23, -4.11, -35.40, 1.24, 1.09, 4.64, repro,
2008-12-10,0.63, -4.00, -41.21, 1.18, 1.04, 4.45, repro,
2008-12-11,-0.28, -3.74, -35.65, 1.16, 1.03, 4.37, repro,
2008-12-12,-0.64, -3.44, -30.81, 1.33, 1.17, 4.96, repro,
2008-12-13,-0.46, -4.29, -17.35, 1.49, 1.33, 5.64, repro,
2008-12-14,-0.10, -4.67, -22.48, 1.16, 1.04, 4.39, repro,
2008-12-15,-1.06, -4.46, -33.84, 1.29, 1.15, 4.85, repro,
2008-12-16,-0.92, -4.54, -31.94, 1.35, 1.19, 5.05, repro,
2008-12-17,-0.90, -4.48, -33.03, 1.24, 1.1, 4.69, repro,
2008-12-18,-1.21, -4.24, -35.77, 1.27, 1.12, 4.78, repro,
2008-12-19,-0.95, -3.31, -37.03, 1.34, 1.16, 5.08, repro,
2008-12-20,-0.82, -4.76, -37.09, 1.25, 1.12, 4.75, repro,
2008-12-21,-0.27, -4.68, -34.61, 1.23, 1.09, 4.66, repro,
2008-12-22,-1.57, -4.35, -30.80, 1.64, 1.42, 6.13, repro,
2008-12-23,-1.12, -5.02, -28.89, 1.42, 1.25, 5.35, repro,
2008-12-24,-1.10, -4.96, -34.48, 1.4, 1.22, 5.27, repro,
2008-12-25,-1.03, -4.64, -30.76, 1.46, 1.28, 5.47, repro,
2008-12-26,-0.80, -6.08, -28.95, 1.37, 1.2, 5.14, repro,
2008-12-27,-1.06, -5.31, -31.26, 1.23, 1.09, 4.65, repro,
2008-12-28,-0.20, -5.44, -41.09, 1.29, 1.14, 4.87, repro,
2008-12-29,-0.55, -4.62, -40.10, 1.32, 1.16, 4.98, repro,
2008-12-30,-0.23, -5.30, -41.89, 1.33, 1.17, 5, repro,
2008-12-31,-0.72, -4.74, -38.51, 1.36, 1.19, 5.09, repro,
2009-01-01,-0.74, -5.07, -32.99, 1.35, 1.2, 5.08, repro,
2009-01-02,0.17, -4.26, -33.12, 1.49, 1.3, 5.6, repro,
2009-01-03,-1.10, -6.17, -32.69, 1.46, 1.27, 5.45, repro,
2009-01-04,-0.87, -5.85, -35.57, 1.32, 1.15, 4.94, repro,
2009-01-05,-0.95, -6.62, -32.34, 1.41, 1.23, 5.28, repro,
2009-01-06,-0.92, -5.62, -28.58, 1.41, 1.23, 5.28, repro,
2009-01-07,-0.57, -6.15, -32.05, 1.34, 1.18, 5.04, repro,
2009-01-08,-0.22, -4.63, -31.53, 1.35, 1.19, 5.09, repro,
2009-01-09,-0.66, -5.80, -38.33, 1.35, 1.2, 5.13, repro,
2009-01-10,-0.33, -5.13, -38.67, 1.3, 1.14, 4.89, repro,
2009-01-11,0.00, -5.20, -41.82, 1.39, 1.21, 5.24, repro,
2009-01-12,-0.14, -5.29, -40.05, 1.34, 1.17, 5.04, repro,
2009-01-13,0.03, -6.11, -40.06, 1.32, 1.15, 4.96, repro,
2009-01-14,-0.51, -4.89, -40.46, 1.31, 1.15, 4.96, repro,
2009-01-15,-0.66, -6.03, -40.54, 1.3, 1.12, 4.84, repro,
2009-01-16,-2.55, -6.77, -42.83, 1.38, 1.2, 5.21, repro,
2009-01-17,-0.41, -5.66, -39.49, 1.29, 1.12, 4.86, repro,
2009-01-18,-0.21, -5.71, -38.43, 1.25, 1.09, 4.72, repro,
2009-01-19,-0.36, -5.79, -36.64, 1.27, 1.11, 4.81, repro,
2009-01-20,-1.31, -5.56, -36.03, 1.35, 1.17, 5.1, repro,
2009-01-21,-0.15, -5.70, -34.61, 1.39, 1.21, 5.26, repro,
2009-01-22,-2.12, -6.20, -33.32, 1.38, 1.2, 5.24, repro,
2009-01-23,-1.99, -7.00, -42.11, 1.37, 1.21, 5.19, repro,
2009-01-24,-1.05, -4.00, -41.11, 1.4, 1.23, 5.25, repro,
2009-01-25,-1.38, -5.29, -40.50, 1.44, 1.26, 5.4, repro,
2009-01-26,-1.38, -7.68, -34.98, 1.28, 1.12, 4.8, repro,
2009-01-27,-0.56, -7.41, -37.38, 1.27, 1.11, 4.78, repro,
2009-01-28,-0.53, -7.02, -38.64, 1.28, 1.12, 4.8, repro,
2009-01-29,0.63, -5.87, -38.89, 1.28, 1.14, 4.83, repro,
2009-01-30,-0.37, -6.94, -39.83, 1.24, 1.1, 4.68, repro,
