PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P573
Station name, Blackrock_CS2008
Begin Date, 2008-09-24
End Date, 2018-09-15
Release Date, 2018-11-17
Source file, P573.pbo.nam08.pos
Offset from source file, 28.70 mm North, -26.09 mm East, -30.33 mm Vertical
Reference position, 36.0930948218 North Latitude, -118.2604985541 East Longitude, 2441.39087 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-09-24,0.00, 0.00, 0.00, 9.26, 8.91, 99.07, repro,
2008-09-25,0.68, -0.04, -24.44, 1.49, 1.27, 5.5, repro,
2008-09-26,-1.34, 0.24, -27.00, 1.14, 1.05, 4.33, repro,
2008-09-27,-1.32, 0.57, -25.91, 1.42, 1.23, 5.1, repro,
2008-09-28,0.39, 0.69, -28.39, 1.33, 1.13, 4.88, repro,
2008-09-29,-0.15, 0.13, -33.07, 1.62, 1.37, 5.95, repro,
2008-09-30,-0.13, 0.04, -35.85, 1.66, 1.4, 6.01, repro,
2008-10-01,0.55, 1.11, -33.77, 1.37, 1.16, 5, repro,
2008-10-02,-0.40, 1.92, -30.40, 1.53, 1.29, 5.6, repro,
2008-10-03,0.75, -0.69, -34.09, 1.47, 1.24, 5.35, repro,
2008-10-04,-1.08, 1.40, -31.28, 1.61, 1.36, 5.91, repro,
2008-10-05,-0.15, 0.20, -28.40, 1.29, 1.1, 4.73, repro,
2008-10-06,0.04, 0.91, -35.96, 1.28, 1.07, 4.6, repro,
2008-10-07,0.12, 0.01, -32.12, 1.35, 1.12, 4.83, repro,
2008-10-08,-0.05, 0.47, -31.39, 1.34, 1.13, 4.86, repro,
2008-10-09,-0.40, 1.14, -32.64, 1.4, 1.19, 5.13, repro,
2008-10-10,0.05, -0.26, -40.43, 1.34, 1.14, 4.91, repro,
2008-10-11,-0.61, -0.08, -33.97, 1.33, 1.12, 4.81, repro,
2008-10-12,-0.13, 0.13, -31.48, 1.17, 1, 4.31, repro,
2008-10-13,-0.06, 0.77, -35.84, 1.3, 1.1, 4.72, repro,
2008-10-14,0.22, 1.98, -32.98, 1.28, 1.09, 4.67, repro,
2008-10-15,-0.08, 0.72, -36.42, 1.33, 1.1, 4.83, repro,
2008-10-16,0.25, 0.20, -36.62, 1.29, 1.08, 4.71, repro,
2008-10-17,0.00, 0.18, -38.80, 1.24, 1.05, 4.52, repro,
2008-10-18,-0.92, 0.94, -34.11, 1.4, 1.18, 5.1, repro,
2008-10-19,0.49, -0.75, -32.35, 1.3, 1.09, 4.71, repro,
2008-10-20,0.26, -0.16, -31.34, 1.28, 1.08, 4.63, repro,
2008-10-21,0.30, 0.22, -31.74, 1.24, 1.06, 4.47, repro,
2008-10-22,0.41, 0.23, -35.08, 1.25, 1.07, 4.54, repro,
2008-10-23,0.43, 0.36, -32.97, 1.2, 1.03, 4.28, repro,
2008-10-24,0.35, 0.03, -30.77, 1.15, 0.99, 4.23, repro,
2008-10-25,1.00, 0.27, -31.48, 1.23, 1.05, 4.41, repro,
2008-10-26,0.33, -0.20, -34.81, 1.41, 1.19, 5.03, repro,
2008-10-27,0.37, 0.00, -38.27, 1.21, 1.03, 4.41, repro,
2008-10-28,0.46, -0.13, -40.03, 1.21, 1.01, 4.4, repro,
2008-10-29,0.25, -1.13, -36.89, 1.28, 1.07, 4.61, repro,
2008-10-30,-0.57, 0.18, -34.64, 1.25, 1.07, 4.58, repro,
2008-10-31,-0.70, -1.23, -37.37, 1.47, 1.25, 5.41, repro,
2008-11-01,-0.75, -0.91, -32.06, 1.7, 1.44, 6.22, repro,
2008-11-02,-1.31, -2.22, -33.53, 1.81, 1.51, 6.58, repro,
2008-11-03,-0.25, -0.89, -27.55, 1.32, 1.12, 4.85, repro,
